Rs_mean,Rs_up,Rs_low,Rl_mean,Rl_up,Rl_low,Rhh_mean,Rhh_up,Rhh_low,Rcc_mean,Rcc_up,Rcc_low,Rt_mean,Rt_up,Rt_low
0.358,0.659,0.145,0.144,0.648,0.008,0.502,1.143,0.153,3.538,3.89,2.984,4.04,4.502,3.703
0.355,0.648,0.145,0.145,0.648,0.008,0.5,1.138,0.153,3.538,3.89,2.984,4.037,4.497,3.701
0.353,0.642,0.145,0.145,0.648,0.008,0.498,1.134,0.153,3.538,3.89,2.984,4.035,4.493,3.699
0.352,0.637,0.145,0.145,0.649,0.008,0.497,1.131,0.153,3.538,3.89,2.984,4.034,4.49,3.698
0.35,0.634,0.145,0.145,0.65,0.008,0.495,1.129,0.153,3.538,3.89,2.984,4.033,4.488,3.698
0.352,0.637,0.146,0.146,0.653,0.008,0.498,1.132,0.154,3.247,3.606,2.739,3.745,4.261,3.403
0.352,0.635,0.146,0.146,0.653,0.008,0.498,1.131,0.154,3.247,3.606,2.739,3.745,4.259,3.403
0.351,0.634,0.146,0.146,0.654,0.008,0.497,1.13,0.154,3.247,3.606,2.739,3.744,4.258,3.403
0.351,0.632,0.146,0.146,0.654,0.008,0.497,1.129,0.154,3.247,3.606,2.739,3.744,4.258,3.402
0.351,0.631,0.146,0.146,0.655,0.008,0.496,1.129,0.154,3.247,3.606,2.739,3.744,4.257,3.402
0.311,0.562,0.129,0.129,0.591,0.007,0.44,1.019,0.135,2.949,3.311,2.488,3.389,3.91,3.049
0.311,0.561,0.129,0.129,0.591,0.007,0.44,1.018,0.136,2.949,3.311,2.488,3.389,3.91,3.049
0.311,0.561,0.129,0.129,0.591,0.007,0.44,1.018,0.136,2.949,3.311,2.488,3.389,3.91,3.049
0.311,0.561,0.129,0.129,0.591,0.007,0.44,1.018,0.136,2.949,3.311,2.488,3.389,3.91,3.049
0.166,0.229,0.1,0.009,0.023,0,0.175,0.239,0.104,0.247,0.319,0.184,0.422,0.473,0.372
0.149,0.211,0.09,0.008,0.02,0,0.156,0.212,0.094,0.226,0.29,0.168,0.382,0.426,0.333
0.152,0.216,0.092,0.008,0.02,0,0.16,0.216,0.097,0.226,0.29,0.168,0.386,0.43,0.337
0.156,0.221,0.095,0.008,0.02,0,0.164,0.221,0.1,0.226,0.29,0.168,0.39,0.434,0.342
0.16,0.226,0.097,0.008,0.02,0,0.168,0.226,0.102,0.226,0.29,0.168,0.394,0.439,0.346
0.164,0.231,0.099,0.008,0.02,0,0.172,0.232,0.105,0.226,0.29,0.168,0.398,0.443,0.35
0.171,0.239,0.103,0.008,0.02,0,0.178,0.24,0.108,0.213,0.273,0.158,0.391,0.439,0.343
0.175,0.245,0.105,0.008,0.02,0,0.182,0.246,0.111,0.213,0.273,0.158,0.395,0.444,0.344
0.179,0.25,0.107,0.007,0.02,0,0.186,0.252,0.113,0.213,0.273,0.158,0.399,0.449,0.346
0.183,0.256,0.109,0.007,0.02,0,0.19,0.259,0.115,0.213,0.273,0.158,0.403,0.453,0.347
0.187,0.261,0.111,0.007,0.02,0,0.194,0.265,0.116,0.213,0.273,0.158,0.407,0.457,0.348
0.193,0.27,0.114,0.007,0.02,0,0.2,0.276,0.119,0.198,0.254,0.148,0.398,0.449,0.339
0.196,0.276,0.115,0.007,0.019,0,0.204,0.283,0.121,0.198,0.254,0.148,0.402,0.453,0.343
0.2,0.283,0.117,0.007,0.019,0,0.207,0.289,0.122,0.198,0.254,0.148,0.405,0.458,0.346
0.203,0.289,0.118,0.007,0.019,0,0.21,0.295,0.124,0.198,0.254,0.148,0.408,0.462,0.348
0.206,0.294,0.12,0.007,0.019,0,0.213,0.3,0.125,0.198,0.254,0.148,0.411,0.465,0.35
0.209,0.3,0.121,0.007,0.019,0,0.216,0.305,0.126,0.198,0.254,0.148,0.414,0.469,0.351
0.212,0.305,0.122,0.007,0.019,0,0.219,0.31,0.127,0.198,0.254,0.148,0.417,0.472,0.352
0.215,0.309,0.124,0.007,0.019,0,0.221,0.315,0.128,0.198,0.254,0.148,0.419,0.476,0.354
0.217,0.314,0.125,0.007,0.019,0,0.223,0.319,0.129,0.198,0.254,0.148,0.421,0.479,0.355
0.219,0.318,0.126,0.007,0.019,0,0.226,0.323,0.13,0.198,0.254,0.148,0.424,0.483,0.356
0.186,0.272,0.107,0.005,0.016,0,0.191,0.276,0.11,0.181,0.232,0.135,0.372,0.432,0.308
0.187,0.275,0.108,0.005,0.016,0,0.193,0.279,0.111,0.181,0.232,0.135,0.374,0.435,0.309
0.189,0.278,0.108,0.005,0.016,0,0.194,0.282,0.111,0.181,0.232,0.135,0.376,0.437,0.311
0.19,0.28,0.109,0.005,0.016,0,0.196,0.284,0.112,0.181,0.232,0.135,0.377,0.439,0.312
0.192,0.283,0.109,0.005,0.016,0,0.197,0.287,0.113,0.181,0.232,0.135,0.378,0.441,0.313
0.156,0.246,0.088,0.004,0.013,0,0.161,0.246,0.093,0.14,0.177,0.104,0.3,0.36,0.244
0.157,0.247,0.088,0.004,0.013,0,0.161,0.247,0.093,0.14,0.177,0.104,0.301,0.362,0.244
0.158,0.249,0.088,0.004,0.013,0,0.162,0.249,0.093,0.14,0.177,0.104,0.302,0.363,0.244
0.159,0.25,0.088,0.004,0.013,0,0.163,0.251,0.093,0.14,0.177,0.104,0.302,0.365,0.244
0.159,0.252,0.088,0.004,0.013,0,0.163,0.252,0.094,0.14,0.177,0.104,0.303,0.366,0.244
