Rs_mean,Rs_up,Rs_low,Rl_mean,Rl_up,Rl_low,Rhh_mean,Rhh_up,Rhh_low,Rcc_mean,Rcc_up,Rcc_low,Rt_mean,Rt_up,Rt_low
0.665,1.014,0.339,0.399,0.762,0.081,1.065,1.666,0.561,3.436,3.889,2.749,4.5,4.991,4.15
0.651,0.979,0.337,0.403,0.769,0.082,1.054,1.643,0.557,3.436,3.889,2.749,4.489,4.981,4.136
0.642,0.959,0.336,0.404,0.77,0.082,1.046,1.621,0.554,3.436,3.889,2.749,4.482,4.974,4.123
0.635,0.946,0.334,0.405,0.771,0.082,1.04,1.605,0.551,3.436,3.889,2.749,4.476,4.969,4.113
0.631,0.937,0.333,0.405,0.772,0.082,1.036,1.593,0.55,3.436,3.889,2.749,4.472,4.965,4.106
0.632,0.937,0.335,0.407,0.777,0.082,1.039,1.596,0.553,3.144,3.566,2.516,4.184,4.679,3.853
0.629,0.93,0.335,0.408,0.778,0.082,1.037,1.59,0.552,3.144,3.566,2.516,4.181,4.677,3.849
0.627,0.924,0.335,0.408,0.779,0.082,1.035,1.587,0.551,3.144,3.566,2.516,4.179,4.676,3.846
0.625,0.919,0.334,0.409,0.78,0.082,1.034,1.585,0.551,3.144,3.566,2.516,4.178,4.674,3.843
0.623,0.916,0.334,0.409,0.781,0.082,1.033,1.583,0.55,3.144,3.566,2.516,4.177,4.673,3.841
0.549,0.809,0.291,0.36,0.688,0.071,0.908,1.411,0.479,2.845,3.257,2.276,3.754,4.26,3.434
0.548,0.808,0.291,0.36,0.689,0.071,0.908,1.411,0.479,2.845,3.257,2.276,3.753,4.259,3.434
0.547,0.807,0.291,0.36,0.689,0.071,0.908,1.41,0.479,2.845,3.257,2.276,3.753,4.259,3.433
0.547,0.806,0.291,0.361,0.69,0.071,0.908,1.41,0.479,2.845,3.257,2.276,3.753,4.258,3.433
0.15,0.221,0.082,0.008,0.025,0,0.158,0.227,0.088,0.248,0.324,0.173,0.407,0.468,0.343
0.135,0.197,0.074,0.007,0.022,0,0.142,0.202,0.078,0.226,0.294,0.158,0.368,0.42,0.31
0.139,0.203,0.076,0.007,0.022,0,0.146,0.207,0.081,0.226,0.294,0.158,0.372,0.425,0.314
0.144,0.21,0.078,0.007,0.022,0,0.151,0.214,0.083,0.226,0.294,0.158,0.377,0.43,0.317
0.148,0.216,0.081,0.007,0.022,0,0.156,0.22,0.086,0.226,0.294,0.158,0.381,0.434,0.321
0.153,0.222,0.084,0.007,0.022,0,0.16,0.228,0.088,0.226,0.294,0.158,0.386,0.439,0.324
0.161,0.234,0.088,0.007,0.022,0,0.168,0.239,0.092,0.212,0.276,0.149,0.38,0.433,0.316
0.166,0.242,0.091,0.007,0.022,0,0.173,0.246,0.094,0.212,0.276,0.149,0.385,0.438,0.319
0.17,0.249,0.093,0.007,0.022,0,0.177,0.253,0.096,0.212,0.276,0.149,0.39,0.443,0.322
0.175,0.256,0.095,0.007,0.022,0,0.182,0.26,0.098,0.212,0.276,0.149,0.394,0.449,0.325
0.18,0.264,0.097,0.007,0.021,0,0.186,0.267,0.101,0.212,0.276,0.149,0.399,0.455,0.328
0.187,0.279,0.1,0.007,0.021,0,0.194,0.281,0.104,0.197,0.255,0.139,0.391,0.454,0.318
0.191,0.286,0.102,0.007,0.021,0,0.198,0.289,0.105,0.197,0.255,0.139,0.395,0.462,0.32
0.195,0.295,0.104,0.007,0.021,0,0.202,0.298,0.107,0.197,0.255,0.139,0.399,0.466,0.322
0.199,0.303,0.106,0.006,0.021,0,0.206,0.305,0.108,0.197,0.255,0.139,0.403,0.471,0.325
0.203,0.311,0.107,0.006,0.02,0,0.209,0.312,0.11,0.197,0.255,0.139,0.406,0.476,0.327
0.207,0.318,0.108,0.006,0.02,0,0.213,0.319,0.111,0.197,0.255,0.139,0.41,0.481,0.329
0.21,0.325,0.11,0.006,0.02,0,0.216,0.326,0.112,0.197,0.255,0.139,0.413,0.485,0.331
0.213,0.331,0.111,0.006,0.02,0,0.219,0.333,0.113,0.197,0.255,0.139,0.416,0.489,0.332
0.216,0.336,0.112,0.006,0.02,0,0.222,0.339,0.114,0.197,0.255,0.139,0.419,0.493,0.334
0.218,0.341,0.113,0.006,0.02,0,0.224,0.344,0.115,0.197,0.255,0.139,0.421,0.497,0.334
0.184,0.283,0.094,0.005,0.016,0,0.189,0.285,0.099,0.179,0.232,0.128,0.368,0.436,0.292
0.186,0.287,0.095,0.005,0.016,0,0.191,0.289,0.1,0.179,0.232,0.128,0.37,0.44,0.293
0.188,0.291,0.095,0.005,0.016,0,0.193,0.293,0.1,0.179,0.232,0.128,0.372,0.444,0.294
0.19,0.294,0.096,0.005,0.016,0,0.195,0.296,0.101,0.179,0.232,0.128,0.374,0.448,0.295
0.191,0.297,0.096,0.005,0.016,0,0.196,0.299,0.102,0.179,0.232,0.128,0.376,0.452,0.295
0.155,0.248,0.076,0.004,0.012,0,0.159,0.248,0.082,0.136,0.178,0.095,0.294,0.375,0.229
0.156,0.251,0.077,0.004,0.012,0,0.16,0.251,0.082,0.136,0.178,0.095,0.295,0.378,0.229
0.157,0.254,0.077,0.004,0.012,0,0.161,0.254,0.082,0.136,0.178,0.095,0.296,0.38,0.229
0.158,0.256,0.077,0.004,0.012,0,0.161,0.257,0.082,0.136,0.178,0.095,0.297,0.382,0.23
0.159,0.259,0.077,0.004,0.012,0,0.162,0.259,0.083,0.136,0.178,0.095,0.298,0.384,0.23
