Rs_mean,Rs_up,Rs_low,Rl_mean,Rl_up,Rl_low,Rhh_mean,Rhh_up,Rhh_low,Rcc_mean,Rcc_up,Rcc_low,Rt_mean,Rt_up,Rt_low
0.713,1.083,0.394,0.43,0.794,0.08,1.142,1.793,0.626,3.43,3.886,2.746,4.572,5.091,4.225
0.533,0.857,0.268,0.496,0.94,0.109,1.029,1.609,0.485,3.437,3.889,2.75,4.465,4.934,4.135
0.601,1.114,0.249,0.44,0.995,0.08,1.041,1.678,0.554,3.437,3.89,2.746,4.478,4.962,4.139
0.593,0.968,0.295,0.442,0.906,0.094,1.036,1.654,0.525,3.438,3.889,2.751,4.473,5.013,4.14
0.715,1.064,0.36,0.368,0.834,0.074,1.083,1.654,0.603,3.434,3.887,2.746,4.518,5.006,4.125
0.642,0.987,0.34,0.412,0.793,0.075,1.053,1.671,0.56,3.145,3.565,2.512,4.198,4.711,3.868
0.699,1.038,0.364,0.373,0.728,0.079,1.072,1.665,0.572,3.144,3.568,2.512,4.216,4.687,3.894
0.703,1.07,0.351,0.366,0.793,0.064,1.069,1.654,0.552,3.145,3.572,2.512,4.214,4.693,3.873
0.617,0.986,0.34,0.413,0.749,0.075,1.03,1.612,0.545,3.147,3.57,2.517,4.177,4.711,3.864
0.654,0.964,0.319,0.393,0.786,0.081,1.046,1.641,0.56,3.144,3.573,2.514,4.19,4.698,3.891
0.544,0.8,0.296,0.354,0.72,0.06,0.898,1.438,0.507,2.849,3.257,2.276,3.747,4.227,3.41
0.561,0.842,0.325,0.363,0.746,0.06,0.924,1.427,0.482,2.844,3.257,2.274,3.768,4.293,3.419
0.55,0.807,0.266,0.362,0.687,0.067,0.912,1.422,0.484,2.845,3.258,2.276,3.757,4.269,3.428
0.528,0.854,0.281,0.376,0.707,0.07,0.904,1.417,0.485,2.845,3.258,2.275,3.749,4.276,3.41
0.152,0.26,0.055,0.008,0.034,0,0.16,0.267,0.062,0.249,0.324,0.173,0.409,0.489,0.328
0.127,0.209,0.055,0.008,0.023,0,0.134,0.214,0.063,0.226,0.295,0.158,0.36,0.424,0.299
0.148,0.233,0.082,0.007,0.02,0,0.155,0.236,0.087,0.226,0.293,0.159,0.381,0.451,0.322
0.149,0.249,0.073,0.007,0.022,0,0.156,0.252,0.081,0.226,0.293,0.158,0.381,0.447,0.325
0.152,0.252,0.077,0.007,0.028,0,0.159,0.253,0.091,0.226,0.294,0.158,0.385,0.448,0.322
0.158,0.266,0.082,0.007,0.02,0,0.164,0.271,0.086,0.226,0.293,0.158,0.39,0.465,0.315
0.164,0.255,0.079,0.007,0.028,0,0.172,0.26,0.085,0.212,0.275,0.149,0.384,0.451,0.31
0.166,0.263,0.069,0.007,0.025,0,0.173,0.27,0.089,0.212,0.277,0.15,0.385,0.462,0.301
0.174,0.27,0.085,0.007,0.023,0,0.181,0.275,0.094,0.212,0.276,0.149,0.394,0.457,0.322
0.176,0.28,0.08,0.007,0.024,0,0.183,0.286,0.096,0.212,0.275,0.15,0.395,0.482,0.318
0.178,0.298,0.084,0.007,0.027,0,0.185,0.298,0.087,0.212,0.276,0.15,0.398,0.491,0.321
0.185,0.297,0.068,0.007,0.023,0,0.191,0.308,0.084,0.197,0.256,0.139,0.388,0.493,0.298
0.192,0.32,0.075,0.006,0.026,0,0.198,0.326,0.083,0.197,0.262,0.14,0.395,0.486,0.31
0.2,0.339,0.081,0.006,0.025,0,0.206,0.344,0.084,0.197,0.254,0.14,0.403,0.514,0.303
0.205,0.345,0.084,0.006,0.02,0,0.211,0.35,0.087,0.197,0.256,0.139,0.408,0.529,0.308
0.202,0.341,0.058,0.007,0.027,0,0.208,0.341,0.069,0.197,0.26,0.14,0.405,0.523,0.293
0.207,0.351,0.044,0.007,0.038,0,0.213,0.353,0.056,0.197,0.254,0.139,0.41,0.528,0.281
0.203,0.361,0.066,0.006,0.026,0,0.209,0.366,0.069,0.197,0.254,0.139,0.406,0.532,0.286
0.207,0.387,0.059,0.007,0.027,0,0.214,0.387,0.073,0.197,0.258,0.139,0.411,0.561,0.282
0.228,0.393,0.065,0.005,0.021,0,0.233,0.393,0.072,0.197,0.258,0.139,0.43,0.561,0.312
0.223,0.396,0.055,0.006,0.028,0,0.229,0.396,0.063,0.197,0.254,0.139,0.425,0.575,0.294
0.179,0.332,0.05,0.005,0.032,0,0.184,0.334,0.064,0.179,0.231,0.128,0.364,0.492,0.24
0.186,0.351,0,0.004,0.019,0,0.19,0.351,0,0.181,0.247,0.128,0.371,0.51,0.237
0.181,0.353,0,0.005,0.027,0,0.186,0.353,0,0.18,0.233,0.128,0.366,0.502,0.195
0.176,0.355,0,0.005,0.035,0,0.181,0.355,0,0.181,0.247,0.128,0.362,0.5,0.171
0.18,0.363,0,0.005,0.029,0,0.185,0.363,0,0.18,0.237,0.128,0.365,0.513,0.176
0.145,0.297,0,0.003,0.019,0,0.149,0.297,0,0.139,0.193,0.095,0.288,0.407,0.148
0.14,0.313,0,0.002,0.02,0,0.142,0.313,0,0.142,0.197,0.095,0.284,0.423,0.136
0.123,0.31,0,0.002,0.015,0,0.125,0.31,0,0.144,0.206,0.095,0.269,0.422,0.127
0.115,0.288,0,0.003,0.022,0,0.117,0.288,0,0.144,0.203,0.098,0.261,0.413,0.126
0.122,0.277,0,0.002,0.016,0,0.124,0.277,0,0.144,0.206,0.102,0.267,0.41,0.114
