Rs_mean,Rs_up,Rs_low,Rl_mean,Rl_up,Rl_low,Rhh_mean,Rhh_up,Rhh_low,Rcc_mean,Rcc_up,Rcc_low,Rt_mean,Rt_up,Rt_low
1.093,1.158,0.992,1.157,1.466,0.881,2.25,2.484,2.031,3.329,3.411,3.193,5.58,5.819,5.336
1.058,1.116,0.966,1.179,1.485,0.906,2.237,2.472,2.015,3.33,3.411,3.193,5.567,5.807,5.323
1.035,1.09,0.947,1.193,1.497,0.92,2.227,2.463,2.004,3.33,3.411,3.193,5.557,5.798,5.314
1.02,1.075,0.934,1.2,1.505,0.927,2.22,2.456,1.996,3.33,3.411,3.193,5.55,5.791,5.307
1.009,1.065,0.923,1.206,1.513,0.931,2.215,2.452,1.99,3.33,3.411,3.193,5.545,5.786,5.302
1.009,1.066,0.922,1.217,1.527,0.938,2.225,2.464,1.999,3,3.081,2.88,5.225,5.465,4.997
1.002,1.06,0.915,1.221,1.533,0.941,2.223,2.462,1.996,3,3.081,2.88,5.223,5.463,4.994
0.997,1.055,0.909,1.225,1.538,0.944,2.221,2.461,1.994,3,3.081,2.88,5.221,5.462,4.992
0.992,1.051,0.905,1.228,1.542,0.947,2.22,2.46,1.992,3,3.081,2.88,5.22,5.461,4.99
0.988,1.047,0.901,1.232,1.546,0.949,2.22,2.459,1.991,3,3.081,2.88,5.219,5.461,4.989
0.848,0.897,0.773,1.06,1.335,0.815,1.907,2.12,1.708,2.661,2.743,2.553,4.568,4.8,4.366
0.846,0.895,0.772,1.061,1.337,0.817,1.907,2.12,1.708,2.661,2.743,2.553,4.568,4.8,4.366
0.845,0.894,0.77,1.063,1.338,0.818,1.907,2.12,1.708,2.661,2.743,2.553,4.568,4.801,4.366
0.843,0.893,0.769,1.064,1.339,0.819,1.908,2.12,1.708,2.661,2.743,2.553,4.568,4.801,4.366
0.171,0.259,0.095,0.005,0.017,0,0.176,0.264,0.105,0.124,0.194,0.059,0.3,0.357,0.241
0.151,0.23,0.084,0.004,0.014,0,0.155,0.233,0.092,0.11,0.172,0.053,0.265,0.316,0.214
0.156,0.236,0.087,0.004,0.015,0,0.161,0.239,0.096,0.11,0.172,0.053,0.271,0.322,0.218
0.162,0.242,0.091,0.004,0.015,0,0.166,0.246,0.1,0.11,0.172,0.053,0.276,0.328,0.224
0.168,0.249,0.095,0.004,0.015,0,0.172,0.253,0.103,0.11,0.172,0.053,0.282,0.335,0.229
0.174,0.256,0.099,0.004,0.015,0,0.178,0.26,0.107,0.11,0.172,0.053,0.288,0.341,0.235
0.185,0.274,0.105,0.004,0.015,0,0.19,0.277,0.113,0.102,0.16,0.049,0.291,0.35,0.237
0.192,0.282,0.109,0.004,0.015,0,0.196,0.286,0.117,0.102,0.16,0.049,0.298,0.358,0.242
0.198,0.291,0.113,0.004,0.015,0,0.203,0.294,0.121,0.102,0.16,0.049,0.304,0.367,0.246
0.205,0.3,0.116,0.004,0.014,0,0.209,0.303,0.125,0.102,0.16,0.049,0.311,0.375,0.249
0.211,0.309,0.12,0.004,0.014,0,0.215,0.312,0.128,0.102,0.16,0.049,0.317,0.383,0.254
0.224,0.33,0.126,0.004,0.014,0,0.228,0.333,0.134,0.093,0.145,0.045,0.321,0.395,0.25
0.231,0.34,0.13,0.004,0.013,0,0.235,0.343,0.138,0.093,0.145,0.045,0.327,0.405,0.252
0.237,0.35,0.133,0.004,0.013,0,0.241,0.353,0.142,0.093,0.145,0.045,0.334,0.414,0.255
0.244,0.36,0.137,0.004,0.012,0,0.248,0.363,0.145,0.093,0.145,0.045,0.34,0.423,0.258
0.25,0.37,0.14,0.004,0.012,0,0.254,0.372,0.148,0.093,0.145,0.045,0.346,0.432,0.262
0.256,0.379,0.143,0.004,0.011,0,0.26,0.382,0.151,0.093,0.145,0.045,0.352,0.441,0.263
0.262,0.388,0.146,0.003,0.011,0,0.265,0.39,0.153,0.093,0.145,0.045,0.358,0.449,0.265
0.267,0.397,0.148,0.003,0.011,0,0.271,0.399,0.156,0.093,0.145,0.045,0.363,0.458,0.267
0.273,0.405,0.151,0.003,0.01,0,0.276,0.407,0.159,0.093,0.145,0.045,0.369,0.466,0.268
0.278,0.413,0.153,0.003,0.01,0,0.281,0.415,0.161,0.093,0.145,0.045,0.374,0.474,0.27
0.226,0.34,0.123,0.002,0.008,0,0.229,0.342,0.129,0.082,0.129,0.04,0.311,0.394,0.23
0.23,0.347,0.125,0.002,0.008,0,0.232,0.348,0.131,0.082,0.129,0.04,0.315,0.401,0.232
0.234,0.353,0.127,0.002,0.008,0,0.236,0.355,0.132,0.082,0.129,0.04,0.318,0.407,0.232
0.237,0.359,0.128,0.002,0.007,0,0.239,0.361,0.134,0.082,0.129,0.04,0.322,0.412,0.233
0.24,0.365,0.13,0.002,0.007,0,0.243,0.366,0.135,0.082,0.129,0.04,0.325,0.418,0.234
0.184,0.286,0.097,0.002,0.005,0,0.185,0.286,0.101,0.056,0.088,0.027,0.241,0.321,0.167
0.186,0.29,0.098,0.002,0.005,0,0.188,0.291,0.102,0.056,0.088,0.027,0.244,0.326,0.167
0.188,0.294,0.099,0.001,0.005,0,0.19,0.295,0.103,0.056,0.088,0.027,0.246,0.329,0.168
0.19,0.297,0.099,0.001,0.005,0,0.191,0.298,0.103,0.056,0.088,0.027,0.247,0.333,0.168
0.192,0.3,0.1,0.001,0.005,0,0.193,0.301,0.104,0.056,0.088,0.027,0.249,0.336,0.169
