Rs_mean,Rs_up,Rs_low,Rl_mean,Rl_up,Rl_low,Rhh_mean,Rhh_up,Rhh_low,Rcc_mean,Rcc_up,Rcc_low,Rt_mean,Rt_up,Rt_low
0.795,1.222,0.309,0.456,0.833,0.115,1.251,1.934,0.736,3.21,3.833,2.453,4.461,4.726,4.214
0.622,0.961,0.213,0.512,0.975,0.095,1.134,1.779,0.615,3.218,3.84,2.459,4.352,4.593,4.102
0.729,1.299,0.235,0.428,0.809,0.1,1.158,1.845,0.596,3.217,3.844,2.453,4.375,4.625,4.125
0.601,0.892,0.256,0.494,1.08,0.101,1.095,1.715,0.567,3.222,3.841,2.459,4.317,4.609,4.006
0.817,1.222,0.326,0.368,0.675,0.091,1.185,1.791,0.7,3.214,3.837,2.453,4.4,4.687,4.096
0.683,1.045,0.298,0.455,0.866,0.122,1.139,1.76,0.623,2.933,3.499,2.24,4.072,4.329,3.851
0.774,1.179,0.284,0.391,0.757,0.105,1.165,1.771,0.668,2.933,3.507,2.24,4.098,4.354,3.887
0.768,1.137,0.333,0.392,0.813,0.079,1.16,1.77,0.637,2.934,3.513,2.242,4.094,4.344,3.864
0.655,0.965,0.266,0.458,0.916,0.112,1.112,1.721,0.623,2.936,3.51,2.246,4.048,4.329,3.841
0.708,1.03,0.293,0.422,0.803,0.102,1.13,1.68,0.621,2.933,3.503,2.245,4.063,4.341,3.829
0.584,0.898,0.265,0.375,0.732,0.094,0.96,1.481,0.544,2.648,3.154,2.029,3.608,3.903,3.407
0.586,0.825,0.26,0.4,0.796,0.099,0.985,1.509,0.553,2.642,3.156,2.024,3.627,3.905,3.396
0.582,0.864,0.248,0.395,0.78,0.093,0.978,1.495,0.548,2.643,3.162,2.025,3.621,3.913,3.398
0.577,0.832,0.242,0.395,0.706,0.1,0.971,1.47,0.553,2.643,3.159,2.028,3.615,3.867,3.413
0.154,0.241,0.075,0.007,0.032,0,0.161,0.246,0.088,0.214,0.277,0.15,0.375,0.43,0.311
0.127,0.224,0.073,0.006,0.022,0,0.134,0.241,0.076,0.194,0.248,0.137,0.327,0.408,0.274
0.152,0.232,0.081,0.005,0.019,0,0.157,0.236,0.087,0.193,0.248,0.137,0.351,0.398,0.296
0.153,0.245,0.087,0.006,0.02,0,0.159,0.248,0.09,0.194,0.248,0.137,0.352,0.408,0.297
0.156,0.234,0.078,0.006,0.024,0,0.162,0.242,0.091,0.193,0.248,0.137,0.355,0.416,0.293
0.157,0.247,0.083,0.006,0.02,0,0.163,0.266,0.09,0.193,0.249,0.137,0.357,0.43,0.298
0.168,0.284,0.098,0.006,0.026,0,0.174,0.288,0.102,0.181,0.233,0.129,0.356,0.438,0.3
0.169,0.263,0.084,0.006,0.019,0,0.175,0.272,0.088,0.181,0.232,0.129,0.357,0.43,0.292
0.177,0.292,0.078,0.006,0.022,0,0.183,0.293,0.091,0.182,0.232,0.129,0.364,0.448,0.286
0.182,0.369,0.088,0.006,0.025,0,0.188,0.37,0.093,0.181,0.232,0.129,0.37,0.52,0.301
0.19,0.309,0.099,0.006,0.026,0,0.195,0.31,0.103,0.181,0.232,0.129,0.377,0.486,0.304
0.195,0.386,0.083,0.005,0.02,0,0.2,0.388,0.087,0.168,0.217,0.12,0.368,0.526,0.266
0.204,0.375,0.088,0.005,0.018,0,0.208,0.378,0.09,0.168,0.215,0.12,0.376,0.515,0.258
0.214,0.375,0.089,0.005,0.016,0,0.218,0.375,0.095,0.168,0.216,0.12,0.386,0.518,0.275
0.219,0.402,0.074,0.005,0.023,0,0.224,0.404,0.091,0.167,0.213,0.12,0.392,0.542,0.259
0.211,0.427,0.055,0.005,0.026,0,0.216,0.428,0.071,0.168,0.213,0.12,0.384,0.566,0.239
0.209,0.367,0.066,0.005,0.019,0,0.214,0.375,0.071,0.168,0.218,0.12,0.382,0.513,0.243
0.216,0.387,0.062,0.005,0.026,0,0.222,0.387,0.082,0.168,0.213,0.12,0.389,0.541,0.262
0.218,0.406,0,0.005,0.022,0,0.223,0.409,0.001,0.168,0.216,0.12,0.391,0.547,0.176
0.246,0.416,0,0.004,0.02,0,0.249,0.416,0.012,0.168,0.213,0.12,0.417,0.562,0.21
0.236,0.443,0,0.005,0.022,0,0.241,0.443,0.03,0.168,0.213,0.12,0.408,0.585,0.199
0.193,0.376,0,0.003,0.017,0,0.197,0.376,0,0.135,0.179,0.094,0.331,0.487,0.141
0.186,0.364,0,0.004,0.02,0,0.19,0.364,0,0.136,0.179,0.095,0.326,0.479,0.165
0.184,0.352,0,0.004,0.02,0,0.188,0.352,0,0.136,0.179,0.095,0.323,0.476,0.138
0.174,0.369,0,0.003,0.02,0,0.177,0.369,0,0.137,0.178,0.094,0.314,0.484,0.134
0.165,0.368,0,0.003,0.023,0,0.168,0.368,0,0.138,0.179,0.096,0.306,0.476,0.123
0.141,0.36,0,0.002,0.014,0,0.143,0.36,0,0.117,0.171,0.082,0.26,0.45,0.107
0.109,0.362,0,0.002,0.019,0,0.111,0.362,0,0.124,0.176,0.086,0.235,0.453,0.104
0.102,0.364,0,0.001,0.013,0,0.103,0.364,0,0.125,0.185,0.085,0.228,0.455,0.104
0.093,0.304,0,0.001,0.011,0,0.094,0.304,0,0.128,0.185,0.087,0.222,0.416,0.104
0.106,0.37,0,0.002,0.017,0,0.108,0.37,0,0.125,0.178,0.088,0.233,0.461,0.1
