Rs_mean,Rs_up,Rs_low,Rl_mean,Rl_up,Rl_low,Rhh_mean,Rhh_up,Rhh_low,Rcc_mean,Rcc_up,Rcc_low,Rt_mean,Rt_up,Rt_low
0.306,0.498,0.142,0.162,0.321,0.031,0.468,0.781,0.236,1.303,1.5,1.042,1.771,2.046,1.593
0.303,0.487,0.142,0.163,0.321,0.031,0.466,0.772,0.236,1.303,1.5,1.042,1.769,2.036,1.593
0.301,0.477,0.143,0.163,0.322,0.031,0.464,0.764,0.237,1.303,1.5,1.042,1.767,2.028,1.593
0.299,0.47,0.143,0.163,0.322,0.032,0.462,0.757,0.237,1.303,1.5,1.042,1.766,2.021,1.594
0.297,0.464,0.144,0.163,0.323,0.032,0.461,0.751,0.238,1.303,1.5,1.042,1.764,2.015,1.594
0.301,0.467,0.147,0.165,0.325,0.032,0.466,0.754,0.242,1.205,1.403,0.952,1.671,1.946,1.48
0.301,0.464,0.147,0.165,0.325,0.032,0.465,0.749,0.243,1.205,1.403,0.952,1.671,1.941,1.481
0.3,0.462,0.148,0.165,0.326,0.032,0.465,0.745,0.244,1.205,1.403,0.952,1.67,1.938,1.482
0.3,0.459,0.149,0.165,0.326,0.032,0.465,0.739,0.245,1.205,1.403,0.952,1.67,1.934,1.482
0.299,0.457,0.149,0.165,0.327,0.032,0.464,0.734,0.245,1.205,1.403,0.952,1.67,1.931,1.483
0.271,0.415,0.132,0.148,0.296,0.028,0.418,0.662,0.217,1.105,1.309,0.871,1.523,1.801,1.333
0.271,0.414,0.132,0.148,0.297,0.028,0.419,0.658,0.218,1.105,1.309,0.871,1.523,1.799,1.334
0.271,0.412,0.133,0.148,0.297,0.028,0.419,0.655,0.219,1.105,1.309,0.871,1.524,1.798,1.335
0.271,0.411,0.134,0.148,0.297,0.028,0.419,0.652,0.22,1.105,1.309,0.871,1.524,1.796,1.335
0.075,0.115,0.039,0.003,0.01,0,0.078,0.118,0.041,0.096,0.125,0.069,0.175,0.203,0.143
0.068,0.103,0.035,0.003,0.009,0,0.071,0.104,0.037,0.089,0.115,0.063,0.16,0.185,0.131
0.07,0.106,0.036,0.003,0.009,0,0.073,0.108,0.038,0.089,0.115,0.063,0.162,0.187,0.132
0.072,0.11,0.037,0.003,0.009,0,0.075,0.111,0.039,0.089,0.115,0.063,0.164,0.19,0.133
0.074,0.113,0.038,0.003,0.009,0,0.077,0.114,0.04,0.089,0.115,0.063,0.165,0.193,0.135
0.076,0.116,0.039,0.003,0.009,0,0.079,0.117,0.041,0.089,0.114,0.063,0.167,0.197,0.136
0.078,0.12,0.04,0.003,0.009,0,0.081,0.121,0.043,0.084,0.109,0.06,0.165,0.198,0.133
0.08,0.123,0.041,0.003,0.008,0,0.083,0.124,0.044,0.084,0.109,0.06,0.167,0.202,0.134
0.081,0.125,0.042,0.003,0.008,0,0.084,0.126,0.044,0.084,0.109,0.06,0.168,0.203,0.135
0.083,0.129,0.042,0.003,0.008,0,0.085,0.129,0.045,0.084,0.109,0.06,0.169,0.204,0.136
0.084,0.132,0.043,0.003,0.008,0,0.087,0.132,0.046,0.084,0.109,0.06,0.171,0.206,0.137
0.086,0.135,0.043,0.003,0.008,0,0.088,0.136,0.047,0.079,0.102,0.057,0.167,0.205,0.133
0.087,0.138,0.044,0.002,0.008,0,0.089,0.139,0.047,0.079,0.102,0.057,0.168,0.208,0.133
0.088,0.141,0.044,0.002,0.008,0,0.09,0.141,0.047,0.079,0.102,0.057,0.169,0.21,0.134
0.089,0.143,0.044,0.002,0.008,0,0.091,0.144,0.048,0.079,0.102,0.057,0.17,0.212,0.134
0.089,0.145,0.045,0.002,0.008,0,0.092,0.146,0.048,0.079,0.102,0.057,0.171,0.214,0.134
0.09,0.148,0.045,0.002,0.008,0,0.093,0.148,0.048,0.079,0.102,0.057,0.171,0.216,0.135
0.091,0.149,0.045,0.002,0.008,0,0.093,0.15,0.048,0.079,0.102,0.057,0.172,0.217,0.135
0.091,0.151,0.045,0.002,0.008,0,0.094,0.152,0.048,0.079,0.102,0.057,0.173,0.218,0.135
0.092,0.153,0.045,0.002,0.008,0,0.094,0.153,0.048,0.079,0.102,0.057,0.173,0.22,0.135
0.092,0.155,0.045,0.002,0.008,0,0.095,0.155,0.049,0.079,0.102,0.057,0.174,0.221,0.135
0.079,0.133,0.038,0.002,0.007,0,0.081,0.133,0.041,0.073,0.095,0.053,0.154,0.196,0.122
0.079,0.134,0.038,0.002,0.007,0,0.081,0.134,0.041,0.073,0.095,0.053,0.154,0.197,0.122
0.08,0.134,0.038,0.002,0.007,0,0.082,0.135,0.041,0.073,0.095,0.053,0.155,0.197,0.122
0.08,0.135,0.038,0.002,0.007,0,0.082,0.135,0.041,0.073,0.095,0.053,0.155,0.197,0.122
0.08,0.135,0.038,0.002,0.007,0,0.082,0.136,0.041,0.073,0.095,0.053,0.155,0.198,0.122
0.067,0.116,0.03,0.002,0.005,0,0.068,0.117,0.033,0.058,0.081,0.041,0.126,0.17,0.096
0.066,0.116,0.03,0.002,0.005,0,0.068,0.117,0.033,0.058,0.081,0.041,0.126,0.17,0.096
0.066,0.116,0.03,0.002,0.005,0,0.068,0.117,0.033,0.058,0.081,0.041,0.126,0.171,0.096
0.066,0.116,0.03,0.002,0.005,0,0.068,0.117,0.032,0.058,0.081,0.041,0.126,0.171,0.096
0.066,0.116,0.03,0.002,0.005,0,0.068,0.117,0.032,0.058,0.081,0.041,0.126,0.171,0.095
