Rs_mean,Rs_up,Rs_low,Rl_mean,Rl_up,Rl_low,Rhh_mean,Rhh_up,Rhh_low,Rcc_mean,Rcc_up,Rcc_low,Rt_mean,Rt_up,Rt_low
0.713,1.083,0.394,0.43,0.794,0.08,1.142,1.793,0.626,3.43,3.886,2.746,4.572,5.091,4.225
0.533,0.857,0.268,0.496,0.94,0.109,1.029,1.609,0.485,3.437,3.889,2.75,4.465,4.934,4.135
0.601,1.114,0.249,0.44,0.995,0.08,1.041,1.678,0.554,3.437,3.89,2.746,4.478,4.962,4.139
0.593,0.968,0.295,0.442,0.906,0.094,1.036,1.654,0.525,3.438,3.889,2.751,4.473,5.013,4.14
0.715,1.064,0.36,0.368,0.834,0.074,1.083,1.654,0.603,3.434,3.887,2.746,4.518,5.006,4.125
0.642,0.987,0.34,0.412,0.793,0.075,1.053,1.671,0.56,3.145,3.565,2.512,4.198,4.711,3.868
0.699,1.038,0.364,0.373,0.728,0.079,1.072,1.665,0.572,3.144,3.568,2.512,4.216,4.687,3.894
0.703,1.07,0.351,0.366,0.793,0.064,1.069,1.654,0.552,3.145,3.572,2.512,4.214,4.693,3.873
0.617,0.986,0.34,0.413,0.749,0.075,1.03,1.612,0.545,3.147,3.57,2.517,4.177,4.711,3.864
0.654,0.964,0.319,0.393,0.786,0.081,1.046,1.641,0.56,3.144,3.573,2.514,4.19,4.698,3.891
0.544,0.8,0.296,0.354,0.72,0.06,0.898,1.438,0.507,2.849,3.257,2.276,3.747,4.227,3.41
0.561,0.842,0.325,0.363,0.746,0.06,0.924,1.427,0.482,2.844,3.257,2.274,3.768,4.293,3.419
0.55,0.807,0.266,0.362,0.687,0.067,0.912,1.422,0.484,2.845,3.258,2.276,3.757,4.269,3.428
0.528,0.854,0.281,0.376,0.707,0.07,0.904,1.417,0.485,2.845,3.258,2.275,3.749,4.276,3.41
0.395,0.571,0.237,0.313,0.646,0.034,0.708,0.951,0.537,0.248,0.323,0.173,0.956,1.179,0.769
0.321,0.466,0.19,0.298,0.564,0.032,0.619,0.816,0.442,0.225,0.294,0.158,0.845,1.027,0.664
0.322,0.469,0.177,0.285,0.555,0.029,0.608,0.8,0.463,0.225,0.293,0.158,0.833,1.022,0.682
0.306,0.445,0.165,0.294,0.576,0.035,0.6,0.8,0.45,0.225,0.293,0.158,0.825,1.001,0.674
0.284,0.441,0.136,0.308,0.614,0.029,0.592,0.784,0.433,0.225,0.293,0.158,0.817,0.992,0.654
0.278,0.435,0.136,0.305,0.62,0.036,0.583,0.775,0.421,0.225,0.294,0.158,0.809,0.981,0.651
0.272,0.456,0.128,0.324,0.656,0.036,0.597,0.798,0.431,0.212,0.275,0.149,0.808,1.003,0.636
0.276,0.443,0.123,0.318,0.609,0.032,0.594,0.78,0.415,0.212,0.275,0.149,0.805,0.987,0.638
0.263,0.427,0.12,0.33,0.63,0.039,0.593,0.785,0.407,0.212,0.276,0.149,0.805,0.979,0.623
0.255,0.452,0.113,0.337,0.66,0.029,0.592,0.78,0.391,0.212,0.275,0.149,0.804,0.975,0.607
0.254,0.41,0.11,0.334,0.653,0.034,0.588,0.774,0.394,0.212,0.275,0.149,0.8,0.994,0.597
0.259,0.426,0.119,0.351,0.662,0.041,0.61,0.801,0.395,0.197,0.255,0.139,0.807,1.013,0.598
0.26,0.499,0.114,0.353,0.671,0.027,0.612,0.804,0.401,0.197,0.255,0.139,0.809,1.011,0.608
0.251,0.455,0.101,0.367,0.691,0.027,0.618,0.822,0.398,0.197,0.255,0.139,0.815,1,0.6
0.246,0.473,0.105,0.371,0.684,0.019,0.617,0.82,0.382,0.197,0.255,0.139,0.814,1.01,0.57
0.242,0.463,0.1,0.375,0.66,0.025,0.617,0.804,0.361,0.197,0.255,0.139,0.813,1,0.57
0.243,0.471,0.092,0.371,0.681,0.034,0.614,0.819,0.366,0.197,0.255,0.139,0.81,1.015,0.567
0.239,0.463,0.096,0.376,0.697,0.027,0.615,0.818,0.353,0.197,0.255,0.139,0.812,1.019,0.555
0.233,0.426,0.093,0.384,0.692,0.03,0.617,0.822,0.364,0.197,0.254,0.139,0.814,1.014,0.567
0.232,0.43,0.084,0.389,0.686,0.033,0.622,0.81,0.344,0.197,0.255,0.139,0.818,1.018,0.559
0.232,0.449,0.095,0.39,0.704,0.032,0.622,0.812,0.353,0.197,0.254,0.139,0.818,1.021,0.552
0.2,0.389,0.073,0.329,0.595,0.024,0.529,0.692,0.302,0.179,0.231,0.128,0.708,0.88,0.483
0.199,0.361,0.071,0.333,0.601,0.024,0.533,0.712,0.334,0.179,0.233,0.128,0.712,0.896,0.517
0.199,0.45,0.06,0.341,0.641,0.008,0.54,0.714,0.319,0.179,0.231,0.128,0.719,0.897,0.506
0.205,0.43,0.079,0.334,0.599,0.015,0.539,0.704,0.319,0.179,0.232,0.128,0.718,0.897,0.518
0.208,0.449,0.071,0.335,0.594,0.012,0.543,0.704,0.341,0.179,0.231,0.128,0.722,0.889,0.52
0.19,0.373,0.067,0.286,0.537,0.006,0.477,0.635,0.303,0.135,0.177,0.095,0.612,0.772,0.43
0.198,0.395,0.074,0.284,0.539,0.01,0.482,0.641,0.299,0.135,0.175,0.096,0.617,0.783,0.432
0.198,0.397,0.068,0.287,0.546,0.011,0.486,0.654,0.29,0.135,0.176,0.095,0.621,0.784,0.426
0.2,0.424,0.054,0.29,0.552,0.014,0.491,0.65,0.296,0.135,0.175,0.095,0.626,0.79,0.43
0.203,0.44,0.073,0.285,0.542,0.01,0.488,0.646,0.269,0.136,0.18,0.095,0.623,0.784,0.408
