Rs_mean,Rs_up,Rs_low,Rl_mean,Rl_up,Rl_low,Rhh_mean,Rhh_up,Rhh_low,Rcc_mean,Rcc_up,Rcc_low,Rt_mean,Rt_up,Rt_low
2.118,3.404,1.061,1.345,2.532,0.261,3.463,5.746,1.758,10.957,13.092,8.538,14.421,17.081,12.773
2.052,3.195,1.052,1.377,2.639,0.267,3.429,5.642,1.744,10.959,13.093,8.543,14.388,16.994,12.741
2.035,3.145,1.048,1.377,2.61,0.267,3.412,5.552,1.738,10.959,13.093,8.544,14.371,16.925,12.728
2.011,3.052,1.045,1.381,2.587,0.267,3.392,5.444,1.733,10.96,13.093,8.546,14.351,16.838,12.716
1.989,2.962,1.043,1.381,2.58,0.268,3.37,5.332,1.728,10.96,13.093,8.547,14.33,16.742,12.705
1.668,2.534,0.857,1.17,2.243,0.221,2.838,4.637,1.446,9.834,12.107,7.55,12.672,15.139,10.998
1.649,2.477,0.856,1.165,2.184,0.222,2.814,4.521,1.441,9.834,12.107,7.55,12.648,15.037,10.989
1.63,2.398,0.854,1.158,2.157,0.222,2.788,4.392,1.435,9.834,12.107,7.55,12.622,14.96,10.978
1.608,2.327,0.853,1.15,2.138,0.222,2.758,4.277,1.428,9.834,12.107,7.55,12.593,14.907,10.964
1.585,2.277,0.851,1.14,2.114,0.222,2.724,4.157,1.42,9.834,12.107,7.55,12.559,14.848,10.946
1.423,2.047,0.76,1.03,1.901,0.199,2.452,3.74,1.279,8.771,11.139,6.656,11.223,13.535,9.642
1.396,1.99,0.758,1.016,1.871,0.191,2.411,3.649,1.241,8.771,11.139,6.656,11.183,13.43,9.619
1.363,1.907,0.755,1,1.834,0.191,2.362,3.551,1.234,8.771,11.139,6.656,11.133,13.354,9.588
1.32,1.821,0.75,0.981,1.787,0.198,2.301,3.423,1.243,8.772,11.139,6.656,11.073,13.258,9.543
0.355,0.473,0.213,0.025,0.072,0.001,0.38,0.51,0.232,0.763,1.008,0.539,1.143,1.342,0.986
0.334,0.448,0.201,0.023,0.066,0.001,0.357,0.486,0.217,0.688,0.898,0.49,1.045,1.239,0.905
0.339,0.447,0.207,0.023,0.066,0.001,0.362,0.486,0.223,0.688,0.898,0.49,1.049,1.245,0.906
0.344,0.448,0.212,0.023,0.066,0.001,0.367,0.486,0.228,0.688,0.898,0.49,1.054,1.252,0.906
0.349,0.449,0.217,0.023,0.066,0.001,0.372,0.488,0.233,0.688,0.898,0.49,1.06,1.258,0.907
0.354,0.451,0.222,0.023,0.066,0.001,0.377,0.49,0.237,0.688,0.898,0.49,1.065,1.26,0.913
0.37,0.467,0.232,0.023,0.066,0.001,0.392,0.505,0.247,0.646,0.844,0.462,1.038,1.235,0.891
0.376,0.472,0.237,0.022,0.066,0.001,0.398,0.508,0.252,0.646,0.844,0.462,1.044,1.241,0.897
0.381,0.475,0.241,0.022,0.065,0.001,0.403,0.511,0.257,0.645,0.844,0.462,1.049,1.246,0.903
0.386,0.478,0.245,0.022,0.065,0.001,0.408,0.514,0.261,0.645,0.844,0.462,1.054,1.248,0.909
0.391,0.48,0.249,0.022,0.065,0.001,0.413,0.515,0.266,0.645,0.844,0.462,1.058,1.249,0.915
0.362,0.455,0.225,0.02,0.057,0.001,0.381,0.484,0.247,0.6,0.795,0.432,0.981,1.181,0.838
0.367,0.457,0.229,0.019,0.057,0.001,0.386,0.488,0.251,0.599,0.795,0.432,0.986,1.185,0.845
0.371,0.459,0.233,0.019,0.057,0.001,0.39,0.491,0.255,0.599,0.795,0.432,0.99,1.186,0.851
0.375,0.46,0.236,0.019,0.056,0.001,0.394,0.492,0.259,0.599,0.795,0.432,0.994,1.187,0.857
0.379,0.46,0.24,0.019,0.056,0.001,0.398,0.493,0.263,0.599,0.795,0.432,0.997,1.187,0.863
0.382,0.461,0.243,0.019,0.056,0.001,0.401,0.491,0.266,0.599,0.795,0.432,1.001,1.187,0.868
0.385,0.462,0.246,0.019,0.055,0.001,0.404,0.489,0.268,0.599,0.795,0.432,1.003,1.187,0.873
0.388,0.463,0.249,0.019,0.055,0.001,0.407,0.486,0.271,0.599,0.795,0.432,1.006,1.188,0.877
0.391,0.463,0.251,0.019,0.055,0.001,0.41,0.486,0.274,0.599,0.794,0.432,1.009,1.19,0.88
0.393,0.464,0.254,0.018,0.055,0.001,0.412,0.486,0.276,0.599,0.794,0.432,1.011,1.191,0.884
0.358,0.433,0.225,0.016,0.048,0.001,0.374,0.454,0.244,0.549,0.743,0.399,0.924,1.115,0.785
0.362,0.434,0.228,0.016,0.047,0.001,0.378,0.455,0.246,0.549,0.743,0.399,0.927,1.117,0.791
0.365,0.435,0.23,0.016,0.047,0.001,0.381,0.455,0.249,0.549,0.743,0.399,0.93,1.119,0.797
0.368,0.436,0.232,0.016,0.047,0.001,0.384,0.455,0.251,0.549,0.743,0.399,0.933,1.121,0.802
0.371,0.436,0.235,0.016,0.047,0.001,0.386,0.456,0.253,0.549,0.742,0.399,0.935,1.123,0.805
0.352,0.431,0.211,0.014,0.041,0,0.366,0.451,0.223,0.434,0.626,0.3,0.8,1.003,0.661
0.359,0.435,0.214,0.013,0.041,0,0.372,0.453,0.226,0.434,0.626,0.3,0.806,1.008,0.667
0.364,0.44,0.216,0.013,0.04,0,0.377,0.456,0.228,0.434,0.626,0.3,0.811,1.011,0.672
0.368,0.444,0.218,0.013,0.04,0,0.381,0.458,0.23,0.434,0.626,0.3,0.815,1.014,0.676
0.372,0.449,0.22,0.013,0.04,0,0.385,0.466,0.232,0.434,0.626,0.3,0.818,1.017,0.679
