corrplot 0.90 loaded
R session is headless; GTK+ not initialized.
[1] 1
BT runMCMC: trying to find optimal start and covariance values BT runMCMC: Optimization finished, setting startValues to 0.548751764171004 0.0211872854209624 0.848704053328507 0.187453368957784 0.133540677311077 0.607442252333895 0.186966877360212 0.0180263567963893  - Setting covariance to 4.72358429303199e-25 1.90479060019877e-40 3.6527674237106e-25 -4.62377273358542e-41 -1.09597235039886e-41 2.75610332873713e-61 -8.60036948388458e-42 -1.30646792091536e-40 1.90479060019877e-40 1.29255674144049e-32 -7.13191624375166e-40 9.02777430095426e-56 2.13985236645489e-56 5.12701727543458e-67 1.67919572277049e-56 2.55083850058032e-55 3.6527674237106e-25 -7.13191624375166e-40 1.12988011001763e-24 -1.43023307513187e-40 -3.39007990938814e-41 8.5250228905611e-61 -2.66028059832177e-41 -4.04118831040161e-40 -4.62377273358542e-41 9.02777430095426e-56 -1.43023307513187e-40 1.29255674144049e-32 2.73691106313441e-48 -2.52509931204896e-50 3.42113882891801e-49 1.0263416486754e-48 -1.09597235039886e-41 2.13985236645489e-56 -3.39007990938814e-41 2.73691106313441e-48 1.29255674144049e-32 1.4470267609939e-48 7.26992001145077e-49 -5.13170824337701e-49 2.75610332873713e-61 5.12701727543458e-67 8.5250228905611e-61 -2.52509931204896e-50 1.4470267609939e-48 1.29255674144049e-32 -1.1930154732029e-48 -9.03332354959994e-50 -8.60036948388458e-42 1.67919572277049e-56 -2.66028059832177e-41 3.42113882891801e-49 7.26992001145077e-49 -1.1930154732029e-48 1.29255674144049e-32 -3.42113882891801e-49 -1.30646792091536e-40 2.55083850058032e-55 -4.04118831040161e-40 1.0263416486754e-48 -5.13170824337701e-49 -9.03332354959994e-50 -3.42113882891801e-49 1.29255674144049e-32 

 Running Metropolis-MCMC, chain  1 iteration 100 of 2e+05 . Current logp:  -284.8059  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 200 of 2e+05 . Current logp:  -284.8059  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 300 of 2e+05 . Current logp:  -284.8059  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 400 of 2e+05 . Current logp:  -284.8059  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 500 of 2e+05 . Current logp:  -284.8059  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 600 of 2e+05 . Current logp:  -284.8059  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 700 of 2e+05 . Current logp:  -284.8059  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 800 of 2e+05 . Current logp:  -284.8059  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 900 of 2e+05 . Current logp:  -284.8059  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1000 of 2e+05 . Current logp:  -284.8059  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1100 of 2e+05 . Current logp:  -284.8059  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1200 of 2e+05 . Current logp:  -284.8059  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1300 of 2e+05 . Current logp:  -284.8059  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1400 of 2e+05 . Current logp:  -284.8059  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1500 of 2e+05 . Current logp:  -284.8059  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1600 of 2e+05 . Current logp:  -284.8059  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1700 of 2e+05 . Current logp:  -284.8059  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1800 of 2e+05 . Current logp:  -284.8059  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1900 of 2e+05 . Current logp:  -284.8059  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2000 of 2e+05 . Current logp:  -284.8059  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2100 of 2e+05 . Current logp:  -284.8059  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2200 of 2e+05 . Current logp:  -284.8059  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2300 of 2e+05 . Current logp:  -284.8059  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2400 of 2e+05 . Current logp:  -284.8059  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2500 of 2e+05 . Current logp:  -284.8059  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2600 of 2e+05 . Current logp:  -284.8059  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2700 of 2e+05 . Current logp:  -284.8059  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2800 of 2e+05 . Current logp:  -284.8059  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2900 of 2e+05 . Current logp:  -284.8059  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3000 of 2e+05 . Current logp:  -284.8059  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3100 of 2e+05 . Current logp:  -284.8059  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3200 of 2e+05 . Current logp:  -284.8059  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3300 of 2e+05 . Current logp:  -284.8059  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3400 of 2e+05 . Current logp:  -284.8059  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3500 of 2e+05 . Current logp:  -284.8059  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3600 of 2e+05 . Current logp:  -284.7822  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3700 of 2e+05 . Current logp:  -284.7647  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3800 of 2e+05 . Current logp:  -284.7591  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3900 of 2e+05 . Current logp:  -284.7764  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4000 of 2e+05 . Current logp:  -284.77  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4100 of 2e+05 . Current logp:  -284.6691  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4200 of 2e+05 . Current logp:  -284.8885  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4300 of 2e+05 . Current logp:  -284.8032  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4400 of 2e+05 . Current logp:  -284.7815  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4500 of 2e+05 . Current logp:  -284.8284  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4600 of 2e+05 . Current logp:  -284.9144  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4700 of 2e+05 . Current logp:  -284.5963  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4800 of 2e+05 . Current logp:  -284.7736  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4900 of 2e+05 . Current logp:  -285.6992  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5000 of 2e+05 . Current logp:  -285.2409  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5100 of 2e+05 . Current logp:  -285.1732  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5200 of 2e+05 . Current logp:  -284.955  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5300 of 2e+05 . Current logp:  -284.436  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5400 of 2e+05 . Current logp:  -286.1063  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5500 of 2e+05 . Current logp:  -285.4199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5600 of 2e+05 . Current logp:  -285.3224  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5700 of 2e+05 . Current logp:  -285.5185  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5800 of 2e+05 . Current logp:  -285.0882  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5900 of 2e+05 . Current logp:  -285.2639  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6000 of 2e+05 . Current logp:  -285.0957  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6100 of 2e+05 . Current logp:  -285.5678  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6200 of 2e+05 . Current logp:  -286.0413  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6300 of 2e+05 . Current logp:  -286.3045  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6400 of 2e+05 . Current logp:  -285.8002  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6500 of 2e+05 . Current logp:  -286.2011  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6600 of 2e+05 . Current logp:  -286.0653  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6700 of 2e+05 . Current logp:  -286.4009  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6800 of 2e+05 . Current logp:  -285.8033  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6900 of 2e+05 . Current logp:  -286.054  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7000 of 2e+05 . Current logp:  -286.1711  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7100 of 2e+05 . Current logp:  -287.0681  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7200 of 2e+05 . Current logp:  -285.858  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7300 of 2e+05 . Current logp:  -287.6066  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7400 of 2e+05 . Current logp:  -287.7737  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7500 of 2e+05 . Current logp:  -287.2938  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7600 of 2e+05 . Current logp:  -288.29  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7700 of 2e+05 . Current logp:  -285.7317  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7800 of 2e+05 . Current logp:  -286.3565  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7900 of 2e+05 . Current logp:  -286.583  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8000 of 2e+05 . Current logp:  -285.9897  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8100 of 2e+05 . Current logp:  -285.0117  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8200 of 2e+05 . Current logp:  -285.9143  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8300 of 2e+05 . Current logp:  -286.5546  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8400 of 2e+05 . Current logp:  -284.9802  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8500 of 2e+05 . Current logp:  -285.9074  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8600 of 2e+05 . Current logp:  -287.7007  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8700 of 2e+05 . Current logp:  -286.2225  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8800 of 2e+05 . Current logp:  -287.877  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8900 of 2e+05 . Current logp:  -287.1453  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 9000 of 2e+05 . Current logp:  -285.8553  Please wait! 
