corrplot 0.90 loaded
R session is headless; GTK+ not initialized.
[1] 1
BT runMCMC: trying to find optimal start and covariance values BT runMCMC: Optimization finished, setting startValues to 0.549999999747029 0.155935770851956 0.539367719839801 0.718264986037468 9.14356808710589e-05 2.34844520736618e-08 0.437716155680343 1.73551794304479e-08  - Setting covariance to 3.55882352613802e-25 2.26653027702888e-41 7.01545078310808e-42 1.34912515267475e-42 8.84162660057782e-39 2.43582431426863e-44 2.69825030535212e-42 3.22736996895741e-44 2.26653027702888e-41 3.55882352613802e-33 1.52618910635034e-48 4.92928024817077e-49 2.4990350039362e-49 3.67267957479903e-46 7.86587280586084e-49 3.70595624641821e-46 7.01545078310808e-42 1.52618910635034e-48 3.55882352613802e-33 1.24329399283175e-49 -3.34095588761524e-51 2.05990502525579e-45 3.26265223399926e-54 -2.15692080624723e-45 1.34912515267475e-42 4.92928024817077e-49 1.24329399283175e-49 3.55882352613802e-33 -1.00228676628457e-51 -4.39663932465977e-47 -2.72023630009689e-53 4.33387252920209e-47 8.84162660057782e-39 2.4990350039362e-49 -3.34095588761524e-51 -1.00228676628457e-51 3.55882352613802e-33 -1.27553891165256e-45 -1.67047794380762e-51 -1.58959089451296e-45 2.43582431426863e-44 3.67267957479903e-46 2.05990502525579e-45 -4.39663932465977e-47 -1.27553891165256e-45 1.56870112855791e-30 -2.92699911409023e-49 7.84345756893394e-31 2.69825030535212e-42 7.86587280586084e-49 3.26265223399926e-54 -2.72023630009689e-53 -1.67047794380762e-51 -2.92699911409023e-49 3.55882352613802e-33 -3.34430031511117e-49 3.22736996895741e-44 3.70595624641821e-46 -2.15692080624723e-45 4.33387252920209e-47 -1.58959089451296e-45 7.84345756893394e-31 -3.34430031511117e-49 1.56868189907461e-30 

 Running Metropolis-MCMC, chain  1 iteration 100 of 2e+05 . Current logp:  -566.2552  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 200 of 2e+05 . Current logp:  -566.2552  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 300 of 2e+05 . Current logp:  -566.2552  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 400 of 2e+05 . Current logp:  -566.2552  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 500 of 2e+05 . Current logp:  -566.2552  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 600 of 2e+05 . Current logp:  -566.2552  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 700 of 2e+05 . Current logp:  -566.2552  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 800 of 2e+05 . Current logp:  -566.2552  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 900 of 2e+05 . Current logp:  -566.2552  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1000 of 2e+05 . Current logp:  -566.2552  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1100 of 2e+05 . Current logp:  -566.2552  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1200 of 2e+05 . Current logp:  -566.2552  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1300 of 2e+05 . Current logp:  -566.2552  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1400 of 2e+05 . Current logp:  -566.2552  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1500 of 2e+05 . Current logp:  -566.2552  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1600 of 2e+05 . Current logp:  -566.2552  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1700 of 2e+05 . Current logp:  -566.2552  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1800 of 2e+05 . Current logp:  -566.2552  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1900 of 2e+05 . Current logp:  -566.2552  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2000 of 2e+05 . Current logp:  -566.2552  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2100 of 2e+05 . Current logp:  -566.2552  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2200 of 2e+05 . Current logp:  -566.2552  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2300 of 2e+05 . Current logp:  -566.2552  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2400 of 2e+05 . Current logp:  -566.2552  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2500 of 2e+05 . Current logp:  -566.2552  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2600 of 2e+05 . Current logp:  -566.2552  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2700 of 2e+05 . Current logp:  -566.2552  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2800 of 2e+05 . Current logp:  -566.2552  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2900 of 2e+05 . Current logp:  -566.2552  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3000 of 2e+05 . Current logp:  -566.2552  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3100 of 2e+05 . Current logp:  -566.2552  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3200 of 2e+05 . Current logp:  -566.2552  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3300 of 2e+05 . Current logp:  -566.2552  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3400 of 2e+05 . Current logp:  -566.2552  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3500 of 2e+05 . Current logp:  -566.2552  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3600 of 2e+05 . Current logp:  -566.2426  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3700 of 2e+05 . Current logp:  -566.2276  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3800 of 2e+05 . Current logp:  -566.2712  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3900 of 2e+05 . Current logp:  -566.2855  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4000 of 2e+05 . Current logp:  -566.0378  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4100 of 2e+05 . Current logp:  -566.1373  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4200 of 2e+05 . Current logp:  -565.9661  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4300 of 2e+05 . Current logp:  -566.1949  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4400 of 2e+05 . Current logp:  -566.023  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4500 of 2e+05 . Current logp:  -566.1838  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4600 of 2e+05 . Current logp:  -565.2437  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4700 of 2e+05 . Current logp:  -564.7196  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4800 of 2e+05 . Current logp:  -564.3435  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4900 of 2e+05 . Current logp:  -563.9041  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5000 of 2e+05 . Current logp:  -563.7397  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5100 of 2e+05 . Current logp:  -557.1089  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5200 of 2e+05 . Current logp:  -551.4651  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5300 of 2e+05 . Current logp:  -546.2726  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5400 of 2e+05 . Current logp:  -544.2695  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5500 of 2e+05 . Current logp:  -538.8007  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5600 of 2e+05 . Current logp:  -528.1893  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5700 of 2e+05 . Current logp:  -519.6125  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5800 of 2e+05 . Current logp:  -511.9708  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5900 of 2e+05 . Current logp:  -511.0958  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6000 of 2e+05 . Current logp:  -509.062  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6100 of 2e+05 . Current logp:  -482.4192  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6200 of 2e+05 . Current logp:  -485.6276  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6300 of 2e+05 . Current logp:  -479.2928  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6400 of 2e+05 . Current logp:  -479.5362  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6500 of 2e+05 . Current logp:  -480.0166  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6600 of 2e+05 . Current logp:  -482.9149  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6700 of 2e+05 . Current logp:  -482.9149  Please wait! 
