corrplot 0.90 loaded
R session is headless; GTK+ not initialized.
[1] 1
BT runMCMC: trying to find optimal start and covariance values BT runMCMC: Optimization finished, setting startValues to 0.549999734590112 0.084295574286897 0.778525835661795 0.820504058025091 0.138726613306877 0.000370926220153808 0.409856036004019 1.00528303630934e-08  - Setting covariance to 3.55882009468111e-25 1.57577552796531e-40 5.21610041178724e-31 2.13161363057605e-41 8.41852471826301e-41 3.81294411849161e-38 2.59031529791519e-41 -9.1344248876741e-44 1.57577552796531e-40 3.55882009468875e-33 2.29875705592549e-46 9.4067098940149e-57 4.75508665776722e-56 1.68242426313894e-53 1.14951630110243e-56 -2.38365240429164e-46 5.21610041178724e-31 2.29875705592549e-46 3.55882009468875e-33 3.12426887326757e-47 1.23388846594616e-46 5.58856560777294e-44 3.79657989658422e-47 2.053599634292e-43 2.13161363057605e-41 9.4067098940149e-57 3.12426887326757e-47 3.55882009468875e-33 5.04241250675915e-57 2.2838254007135e-54 1.55151181285407e-57 -7.3916615410639e-49 8.41852471826301e-41 4.75508665776722e-56 1.23388846594616e-46 5.04241250675915e-57 3.55882009468875e-33 6.3556987542663e-49 1.06910588403688e-50 4.63645105688361e-49 3.81294411849161e-38 1.68242426313894e-53 5.58856560777294e-44 2.2838254007135e-54 6.3556987542663e-49 3.55882009468875e-33 6.1807683920882e-51 1.75730211070678e-46 2.59031529791519e-41 1.14951630110243e-56 3.79657989658422e-47 1.55151181285407e-57 1.06910588403688e-50 6.1807683920882e-51 3.55882009468875e-33 2.22784576658843e-49 -9.1344248876741e-44 -2.38365240429164e-46 2.053599634292e-43 -7.3916615410639e-49 4.63645105688361e-49 1.75730211070678e-46 2.22784576658843e-49 1.17649424207269e-30 

 Running Metropolis-MCMC, chain  1 iteration 100 of 2e+05 . Current logp:  -375.3982  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 200 of 2e+05 . Current logp:  -375.3982  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 300 of 2e+05 . Current logp:  -375.3982  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 400 of 2e+05 . Current logp:  -375.3982  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 500 of 2e+05 . Current logp:  -375.3982  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 600 of 2e+05 . Current logp:  -375.3982  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 700 of 2e+05 . Current logp:  -375.3982  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 800 of 2e+05 . Current logp:  -375.3982  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 900 of 2e+05 . Current logp:  -375.3982  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1000 of 2e+05 . Current logp:  -375.3982  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1100 of 2e+05 . Current logp:  -375.3982  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1200 of 2e+05 . Current logp:  -375.3982  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1300 of 2e+05 . Current logp:  -375.3982  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1400 of 2e+05 . Current logp:  -375.3982  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1500 of 2e+05 . Current logp:  -375.3982  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1600 of 2e+05 . Current logp:  -375.3982  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1700 of 2e+05 . Current logp:  -375.3982  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1800 of 2e+05 . Current logp:  -375.3982  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1900 of 2e+05 . Current logp:  -375.3982  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2000 of 2e+05 . Current logp:  -375.3982  Please wait! 
