corrplot 0.90 loaded
R session is headless; GTK+ not initialized.
[1] 1
BT runMCMC: trying to find optimal start and covariance values BT runMCMC: Optimization finished, setting startValues to 0.510756053828229 0.0555787050418594 0.849999981642624 0.020098762152138 0.99999993098697 0.000469058129778589 0.0319429411892564 0.221823049469296  - Setting covariance to 2.05227518263658e-32 -2.59732336303905e-41 1.31687649670534e-29 -3.77588285562593e-44 1.72510167207375e-29 -1.02506769537141e-42 -1.34383218872821e-44 3.05416406876244e-45 -2.59732336303905e-41 2.05227518263658e-32 -1.58670629950443e-36 4.9582006095451e-48 -1.86620928355345e-36 -7.38642068989067e-49 1.86194725230964e-48 -1.00170683717226e-48 1.31687649670534e-29 -1.58670629950443e-36 1.13333328419742e-24 -2.26659661298862e-39 6.66666606032633e-25 -6.11370129114274e-38 -6.75413427595758e-40 1.53503054057998e-40 -3.77588285562593e-44 4.9582006095451e-48 -2.26659661298862e-39 2.05227518263658e-32 -2.74709760071195e-39 4.44748047759341e-48 1.3684555315672e-48 3.42113882891801e-49 1.72510167207375e-29 -1.86620928355345e-36 6.66666606032633e-25 -2.74709760071195e-39 1.56862723418703e-24 -7.49141638436165e-38 -1.08926483420486e-39 2.4756018803971e-40 -1.02506769537141e-42 -7.38642068989067e-49 -6.11370129114274e-38 4.44748047759341e-48 -7.49141638436165e-38 2.05227518263658e-32 -1.45398400229015e-48 5.55935059699177e-49 -1.34383218872821e-44 1.86194725230964e-48 -6.75413427595758e-40 1.3684555315672e-48 -1.08926483420486e-39 -1.45398400229015e-48 2.05227518263658e-32 -6.84227765783602e-49 3.05416406876244e-45 -1.00170683717226e-48 1.53503054057998e-40 3.42113882891801e-49 2.4756018803971e-40 5.55935059699177e-49 -6.84227765783602e-49 2.05227518263658e-32 

 Running Metropolis-MCMC, chain  1 iteration 100 of 2e+05 . Current logp:  -344.2415  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 200 of 2e+05 . Current logp:  -344.2415  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 300 of 2e+05 . Current logp:  -344.2415  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 400 of 2e+05 . Current logp:  -344.2415  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 500 of 2e+05 . Current logp:  -344.2415  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 600 of 2e+05 . Current logp:  -344.2415  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 700 of 2e+05 . Current logp:  -344.2415  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 800 of 2e+05 . Current logp:  -344.2415  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 900 of 2e+05 . Current logp:  -344.2415  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1000 of 2e+05 . Current logp:  -344.2415  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1100 of 2e+05 . Current logp:  -344.2415  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1200 of 2e+05 . Current logp:  -344.2415  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1300 of 2e+05 . Current logp:  -344.2415  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1400 of 2e+05 . Current logp:  -344.2415  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1500 of 2e+05 . Current logp:  -344.2415  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1600 of 2e+05 . Current logp:  -344.2415  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1700 of 2e+05 . Current logp:  -344.2415  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1800 of 2e+05 . Current logp:  -344.2415  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1900 of 2e+05 . Current logp:  -344.2415  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2000 of 2e+05 . Current logp:  -344.2415  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2100 of 2e+05 . Current logp:  -344.2415  Please wait! 
