corrplot 0.90 loaded
R session is headless; GTK+ not initialized.
[1] 1
BT runMCMC: trying to find optimal start and covariance values BT runMCMC: Optimization finished, setting startValues to 0.549939884234086 0.0965600874775301 0.471048342806782 0.810058628174497 0.00936929276408665 0.277012422578257 0.107987965071368 5.1644558362672e-08  - Setting covariance to 3.55804560319294e-25 2.58918797548792e-40 5.1244345459335e-41 2.53524656483026e-41 2.10587289129731e-39 8.73850943622345e-41 2.15765665091937e-40 -1.46126386213402e-44 2.58918797548792e-40 3.55804560319294e-33 2.13821176807376e-50 2.66415130819444e-49 -5.61280589119361e-50 1.40076883929273e-48 1.25461245969671e-48 1.06499426480175e-47 5.1244345459335e-41 2.13821176807376e-50 3.55804560319294e-33 -2.674435188036e-49 5.34552942018439e-50 -2.74626573961973e-49 -4.81097647816595e-50 -4.43500396015094e-46 2.53524656483026e-41 2.66415130819444e-49 -2.674435188036e-49 3.55804560319294e-33 -6.82677353442006e-50 1.51448238386953e-49 3.8084711141817e-49 2.70088376052791e-50 2.10587289129731e-39 -5.61280589119361e-50 5.34552942018439e-50 -6.82677353442006e-50 3.55804560319294e-33 -1.06294599661909e-49 -1.56962283795024e-49 1.7562867542862e-48 8.73850943622345e-41 1.40076883929273e-48 -2.74626573961973e-49 1.51448238386953e-49 -1.06294599661909e-49 3.55804560319294e-33 2.47712303153266e-49 9.54693946461203e-51 2.15765665091937e-40 1.25461245969671e-48 -4.81097647816595e-50 3.8084711141817e-49 -1.56962283795024e-49 2.47712303153266e-49 3.55804560319294e-33 8.10620854309583e-50 -1.46126386213402e-44 1.06499426480175e-47 -4.43500396015094e-46 2.70088376052791e-50 1.7562867542862e-48 9.54693946461203e-51 8.10620854309583e-50 1.17659210798104e-30 

 Running Metropolis-MCMC, chain  1 iteration 100 of 2e+05 . Current logp:  -479.0555  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 200 of 2e+05 . Current logp:  -479.0555  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 300 of 2e+05 . Current logp:  -479.0555  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 400 of 2e+05 . Current logp:  -479.0555  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 500 of 2e+05 . Current logp:  -479.0555  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 600 of 2e+05 . Current logp:  -479.0555  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 700 of 2e+05 . Current logp:  -479.0555  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 800 of 2e+05 . Current logp:  -479.0555  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 900 of 2e+05 . Current logp:  -479.0555  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1000 of 2e+05 . Current logp:  -479.0555  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1100 of 2e+05 . Current logp:  -479.0555  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1200 of 2e+05 . Current logp:  -479.0555  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1300 of 2e+05 . Current logp:  -479.0555  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1400 of 2e+05 . Current logp:  -479.0555  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1500 of 2e+05 . Current logp:  -479.0555  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1600 of 2e+05 . Current logp:  -479.0555  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1700 of 2e+05 . Current logp:  -479.0555  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1800 of 2e+05 . Current logp:  -479.0555  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1900 of 2e+05 . Current logp:  -479.0555  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2000 of 2e+05 . Current logp:  -479.0555  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2100 of 2e+05 . Current logp:  -479.0555  Please wait! 
