corrplot 0.90 loaded
R session is headless; GTK+ not initialized.
[1] 1
BT runMCMC: trying to find optimal start and covariance values BT runMCMC: Optimization finished, setting startValues to 0.549996095478369 0.0135007869658802 0.558168104803544 0.538472448904905 0.327786886715838 0.237971740500039 0.386016717693491 4.00698175688773e-08  - Setting covariance to 3.55877300048766e-25 8.97952203603759e-40 1.96966679385386e-41 2.26646589977705e-41 3.72347969249087e-41 7.33903243737331e-41 3.66951621868666e-41 3.28840562751944e-44 8.97952203603759e-40 3.55877300048766e-33 -1.06910588403688e-50 -3.02669722443644e-50 -1.32630728494751e-49 -5.95107767481465e-52 -2.17162132694991e-51 -2.38356722640072e-48 1.96966679385386e-41 -1.06910588403688e-50 3.55877300048766e-33 -8.68648530779963e-51 -1.18938029599103e-49 4.87779559591826e-50 -1.36645095803463e-49 1.07320733547928e-46 2.26646589977705e-41 -3.02669722443644e-50 -8.68648530779963e-51 3.55877300048766e-33 -6.28682742825881e-49 1.36328292271542e-50 -2.2427194131071e-49 -1.73564136843293e-49 3.72347969249087e-41 -1.32630728494751e-49 -1.18938029599103e-49 -6.28682742825881e-49 3.55877300048766e-33 2.71162126687301e-49 -4.63968805154405e-49 -2.06648389999021e-49 7.33903243737331e-41 -5.95107767481465e-52 4.87779559591826e-50 1.36328292271542e-50 2.71162126687301e-49 3.55877300048766e-33 -1.77494806834028e-49 -3.52455366418895e-49 3.66951621868666e-41 -2.17162132694991e-51 -1.36645095803463e-49 -2.2427194131071e-49 -4.63968805154405e-49 -1.77494806834028e-49 3.55877300048766e-33 -2.69375749416227e-49 3.28840562751944e-44 -2.38356722640072e-48 1.07320733547928e-46 -1.73564136843293e-49 -2.06648389999021e-49 -3.52455366418895e-49 -2.69375749416227e-49 1.17656487204791e-30 

 Running Metropolis-MCMC, chain  1 iteration 100 of 2e+05 . Current logp:  -303.0274  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 200 of 2e+05 . Current logp:  -303.0274  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 300 of 2e+05 . Current logp:  -303.0274  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 400 of 2e+05 . Current logp:  -303.0274  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 500 of 2e+05 . Current logp:  -303.0274  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 600 of 2e+05 . Current logp:  -303.0274  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 700 of 2e+05 . Current logp:  -303.0274  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 800 of 2e+05 . Current logp:  -303.0274  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 900 of 2e+05 . Current logp:  -303.0274  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1000 of 2e+05 . Current logp:  -303.0274  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1100 of 2e+05 . Current logp:  -303.0274  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1200 of 2e+05 . Current logp:  -303.0274  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1300 of 2e+05 . Current logp:  -303.0274  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1400 of 2e+05 . Current logp:  -303.0274  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1500 of 2e+05 . Current logp:  -303.0274  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1600 of 2e+05 . Current logp:  -303.0274  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1700 of 2e+05 . Current logp:  -303.0274  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1800 of 2e+05 . Current logp:  -303.0274  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1900 of 2e+05 . Current logp:  -303.0274  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2000 of 2e+05 . Current logp:  -303.0274  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2100 of 2e+05 . Current logp:  -303.0274  Please wait! 
