corrplot 0.90 loaded
R session is headless; GTK+ not initialized.
[1] 1
BT runMCMC: trying to find optimal start and covariance values BT runMCMC: Optimization finished, setting startValues to 0.525738268741514 0.0399262697720749 0.849999839603372 5.3554246474348e-08 0.195362867895053 0.426763058792644 0.416679383445039 4.73118477515182e-08  - Setting covariance to 1.08134134164388e-30 1.2722772166964e-42 -9.54970592492041e-28 -1.3072236128614e-44 -8.64659461250603e-44 -1.0376215865396e-44 -1.90226154260358e-44 -1.31109976271392e-44 1.2722772166964e-42 8.49998601792161e-33 -1.13242489066775e-39 3.34667733504969e-47 -3.42113882891801e-49 -1.06910588403688e-48 -2.35203294488113e-49 3.27837750299075e-47 -9.54970592492041e-28 -1.13242489066775e-39 8.49997520450819e-25 1.1635266102079e-41 7.69613638363697e-41 9.23563277775457e-42 1.69315955155365e-41 1.16697679282164e-41 -1.3072236128614e-44 3.34667733504969e-47 1.1635266102079e-41 1.17660394599298e-30 6.39710542641002e-44 1.59934465613996e-44 7.99644581382889e-45 1.16811986369273e-30 -8.64659461250603e-44 -3.42113882891801e-49 7.69613638363697e-41 6.39710542641002e-44 8.49998601792161e-33 1.12256117823872e-49 5.88008236220283e-50 6.39705362689049e-44 -1.0376215865396e-44 -1.06910588403688e-48 9.23563277775457e-42 1.59934465613996e-44 1.12256117823872e-49 8.49998601792161e-33 2.33866912133067e-50 1.59919297283096e-44 -1.90226154260358e-44 -2.35203294488113e-49 1.69315955155365e-41 7.99644581382889e-45 5.88008236220283e-50 2.33866912133067e-50 8.49998601792161e-33 7.99624233100074e-45 -1.31109976271392e-44 3.27837750299075e-47 1.16697679282164e-41 1.16811986369273e-30 6.39705362689049e-44 1.59919297283096e-44 7.99624233100074e-45 1.17657456851747e-30 

 Running Metropolis-MCMC, chain  1 iteration 100 of 2e+05 . Current logp:  -292.7462  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 200 of 2e+05 . Current logp:  -292.7462  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 300 of 2e+05 . Current logp:  -292.7462  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 400 of 2e+05 . Current logp:  -292.7462  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 500 of 2e+05 . Current logp:  -292.7462  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 600 of 2e+05 . Current logp:  -292.7462  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 700 of 2e+05 . Current logp:  -292.7462  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 800 of 2e+05 . Current logp:  -292.7462  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 900 of 2e+05 . Current logp:  -292.7462  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1000 of 2e+05 . Current logp:  -292.7462  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1100 of 2e+05 . Current logp:  -292.7462  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1200 of 2e+05 . Current logp:  -292.7462  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1300 of 2e+05 . Current logp:  -292.7462  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1400 of 2e+05 . Current logp:  -292.7462  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1500 of 2e+05 . Current logp:  -292.7462  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1600 of 2e+05 . Current logp:  -292.7462  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1700 of 2e+05 . Current logp:  -292.7462  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1800 of 2e+05 . Current logp:  -292.7462  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1900 of 2e+05 . Current logp:  -292.7462  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2000 of 2e+05 . Current logp:  -292.7462  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2100 of 2e+05 . Current logp:  -292.7462  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2200 of 2e+05 . Current logp:  -292.7462  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2300 of 2e+05 . Current logp:  -292.7462  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2400 of 2e+05 . Current logp:  -292.7462  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2500 of 2e+05 . Current logp:  -292.7462  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2600 of 2e+05 . Current logp:  -292.7462  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2700 of 2e+05 . Current logp:  -292.7462  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2800 of 2e+05 . Current logp:  -292.7462  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2900 of 2e+05 . Current logp:  -292.7462  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3000 of 2e+05 . Current logp:  -292.7462  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3100 of 2e+05 . Current logp:  -292.7462  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3200 of 2e+05 . Current logp:  -292.7462  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3300 of 2e+05 . Current logp:  -292.7462  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3400 of 2e+05 . Current logp:  -292.7462  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3500 of 2e+05 . Current logp:  -292.7462  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3600 of 2e+05 . Current logp:  -292.7442  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3700 of 2e+05 . Current logp:  -292.7214  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3800 of 2e+05 . Current logp:  -292.7464  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3900 of 2e+05 . Current logp:  -292.7668  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4000 of 2e+05 . Current logp:  -292.7496  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4100 of 2e+05 . Current logp:  -292.8152  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4200 of 2e+05 . Current logp:  -292.787  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4300 of 2e+05 . Current logp:  -292.7668  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4400 of 2e+05 . Current logp:  -292.7752  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4500 of 2e+05 . Current logp:  -292.8034  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4600 of 2e+05 . Current logp:  -292.9893  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4700 of 2e+05 . Current logp:  -292.7564  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4800 of 2e+05 . Current logp:  -292.7072  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4900 of 2e+05 . Current logp:  -292.9118  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5000 of 2e+05 . Current logp:  -293.2589  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5100 of 2e+05 . Current logp:  -293.4351  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5200 of 2e+05 . Current logp:  -294.2284  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5300 of 2e+05 . Current logp:  -294.6071  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5400 of 2e+05 . Current logp:  -293.8029  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5500 of 2e+05 . Current logp:  -293.7671  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5600 of 2e+05 . Current logp:  -296.1131  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5700 of 2e+05 . Current logp:  -292.6791  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5800 of 2e+05 . Current logp:  -292.9861  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5900 of 2e+05 . Current logp:  -295.5143  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6000 of 2e+05 . Current logp:  -296.2735  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6100 of 2e+05 . Current logp:  -292.8506  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6200 of 2e+05 . Current logp:  -293.0694  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6300 of 2e+05 . Current logp:  -293.3469  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6400 of 2e+05 . Current logp:  -296.9019  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6500 of 2e+05 . Current logp:  -294.5318  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6600 of 2e+05 . Current logp:  -291.1483  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6700 of 2e+05 . Current logp:  -292.4953  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6800 of 2e+05 . Current logp:  -293.8187  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6900 of 2e+05 . Current logp:  -294.7512  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7000 of 2e+05 . Current logp:  -293.3438  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7100 of 2e+05 . Current logp:  -292.4393  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7200 of 2e+05 . Current logp:  -290.3713  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7300 of 2e+05 . Current logp:  -292.655  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7400 of 2e+05 . Current logp:  -292.3926  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7500 of 2e+05 . Current logp:  -288.6278  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7600 of 2e+05 . Current logp:  -288.3822  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7700 of 2e+05 . Current logp:  -288.4114  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7800 of 2e+05 . Current logp:  -290.1671  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7900 of 2e+05 . Current logp:  -286.8022  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8000 of 2e+05 . Current logp:  -286.3351  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8100 of 2e+05 . Current logp:  -287.0172  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8200 of 2e+05 . Current logp:  -285.9229  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8300 of 2e+05 . Current logp:  -286.8057  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8400 of 2e+05 . Current logp:  -287.9325  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8500 of 2e+05 . Current logp:  -289.5329  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8600 of 2e+05 . Current logp:  -285.7082  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8700 of 2e+05 . Current logp:  -284.3347  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8800 of 2e+05 . Current logp:  -283.8882  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8900 of 2e+05 . Current logp:  -279.9278  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 9000 of 2e+05 . Current logp:  -279.3463  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 9100 of 2e+05 . Current logp:  -282.0125  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 9200 of 2e+05 . Current logp:  -279.8924  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 9300 of 2e+05 . Current logp:  -286.778  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 9400 of 2e+05 . Current logp:  -283.0276  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 9500 of 2e+05 . Current logp:  -278.5897  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 9600 of 2e+05 . Current logp:  -279.6896  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 9700 of 2e+05 . Current logp:  -280.347  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 9800 of 2e+05 . Current logp:  -280.5266  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 9900 of 2e+05 . Current logp:  -279.9914  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 10000 of 2e+05 . Current logp:  -282.0341  Please wait! 
