corrplot 0.90 loaded
R session is headless; GTK+ not initialized.
[1] 1
BT runMCMC: trying to find optimal start and covariance values BT runMCMC: Optimization finished, setting startValues to 0.549999991923788 0.0556333094678595 0.613360337828634 0.630297760368593 0.232191418814836 0.150281344584353 1.39381951618475e-08 0.313451905120956  - Setting covariance to 3.55882342489607e-25 2.46080414110993e-40 1.40309007895247e-41 1.99670511235544e-41 5.72029032188314e-41 7.23131040690888e-41 -3.83621510091094e-44 4.53306025507721e-41 2.46080414110993e-40 3.55882342489607e-33 -5.34552942018439e-51 0 8.55284707229503e-49 5.98699295060652e-49 5.02516721244311e-48 4.22296824194567e-49 1.40309007895247e-41 -5.34552942018439e-51 3.55882342489607e-33 -3.38104735826663e-49 -2.6727647100922e-50 0 -9.52400459806349e-47 4.64392868378519e-50 1.99670511235544e-41 0 -3.38104735826663e-49 3.55882342489607e-33 -5.98699295060652e-49 3.84878118253276e-49 2.41787203232306e-49 4.81097647816595e-49 5.72029032188314e-41 8.55284707229503e-49 -2.6727647100922e-50 -5.98699295060652e-49 3.55882342489607e-33 1.71056941445901e-49 5.46000265032279e-49 -2.13821176807376e-50 7.23131040690888e-41 5.98699295060652e-49 0 3.84878118253276e-49 1.71056941445901e-49 3.55882342489607e-33 7.69780094819494e-49 6.41463530422127e-50 -3.83621510091094e-44 5.02516721244311e-48 -9.52400459806349e-47 2.41787203232306e-49 5.46000265032279e-49 7.69780094819494e-49 1.17650338421717e-30 4.44819307753762e-49 4.53306025507721e-41 4.22296824194567e-49 4.64392868378519e-50 4.81097647816595e-49 -2.13821176807376e-50 6.41463530422127e-50 4.44819307753762e-49 3.55882342489607e-33 

 Running Metropolis-MCMC, chain  1 iteration 100 of 2e+05 . Current logp:  -281.9199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 200 of 2e+05 . Current logp:  -281.9199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 300 of 2e+05 . Current logp:  -281.9199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 400 of 2e+05 . Current logp:  -281.9199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 500 of 2e+05 . Current logp:  -281.9199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 600 of 2e+05 . Current logp:  -281.9199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 700 of 2e+05 . Current logp:  -281.9199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 800 of 2e+05 . Current logp:  -281.9199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 900 of 2e+05 . Current logp:  -281.9199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1000 of 2e+05 . Current logp:  -281.9199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1100 of 2e+05 . Current logp:  -281.9199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1200 of 2e+05 . Current logp:  -281.9199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1300 of 2e+05 . Current logp:  -281.9199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1400 of 2e+05 . Current logp:  -281.9199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1500 of 2e+05 . Current logp:  -281.9199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1600 of 2e+05 . Current logp:  -281.9199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1700 of 2e+05 . Current logp:  -281.9199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1800 of 2e+05 . Current logp:  -281.9199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1900 of 2e+05 . Current logp:  -281.9199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2000 of 2e+05 . Current logp:  -281.9199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2100 of 2e+05 . Current logp:  -281.9199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2200 of 2e+05 . Current logp:  -281.9199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2300 of 2e+05 . Current logp:  -281.9199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2400 of 2e+05 . Current logp:  -281.9199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2500 of 2e+05 . Current logp:  -281.9199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2600 of 2e+05 . Current logp:  -281.9199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2700 of 2e+05 . Current logp:  -281.9199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2800 of 2e+05 . Current logp:  -281.9199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2900 of 2e+05 . Current logp:  -281.9199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3000 of 2e+05 . Current logp:  -281.9199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3100 of 2e+05 . Current logp:  -281.9199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3200 of 2e+05 . Current logp:  -281.9199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3300 of 2e+05 . Current logp:  -281.9199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3400 of 2e+05 . Current logp:  -281.9199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3500 of 2e+05 . Current logp:  -281.9199  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3600 of 2e+05 . Current logp:  -281.9468  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3700 of 2e+05 . Current logp:  -281.9672  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3800 of 2e+05 . Current logp:  -281.9728  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3900 of 2e+05 . Current logp:  -281.9878  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4000 of 2e+05 . Current logp:  -281.9743  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4100 of 2e+05 . Current logp:  -282.0519  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4200 of 2e+05 . Current logp:  -281.9781  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4300 of 2e+05 . Current logp:  -282.0861  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4400 of 2e+05 . Current logp:  -282.1461  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4500 of 2e+05 . Current logp:  -282.0516  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4600 of 2e+05 . Current logp:  -282.3996  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4700 of 2e+05 . Current logp:  -282.2304  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4800 of 2e+05 . Current logp:  -283.39  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4900 of 2e+05 . Current logp:  -282.7047  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5000 of 2e+05 . Current logp:  -282.5271  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5100 of 2e+05 . Current logp:  -282.3648  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5200 of 2e+05 . Current logp:  -282.4662  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5300 of 2e+05 . Current logp:  -283.0597  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5400 of 2e+05 . Current logp:  -283.2319  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5500 of 2e+05 . Current logp:  -282.2743  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5600 of 2e+05 . Current logp:  -289.4211  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5700 of 2e+05 . Current logp:  -282.4383  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5800 of 2e+05 . Current logp:  -282.278  Please wait! 
