corrplot 0.90 loaded
R session is headless; GTK+ not initialized.
[1] 2
BT runMCMC: trying to find optimal start and covariance values BT runMCMC: Optimization finished, setting startValues to 0.458246665041902 0.0474743361778746 0.849999937716634 0.00684569769671372 0.625017034709434 0.0914635971516132 0.339087831349241 1.24569607615878e-08  - Setting covariance to 8.49999875433271e-33 0 0 0 0 0 0 0 0 8.49999875433271e-33 0 0 0 0 0 0 0 0 8.49999875433272e-25 1.08362673824508e-39 1.60349415459541e-43 -6.15696744440531e-41 1.53924351425935e-41 1.88737886526907e-40 0 0 1.08362673824508e-39 8.49999875433271e-33 2.04422287594412e-58 -7.84924187258556e-56 1.96231257698427e-56 -1.99534178886455e-47 0 0 1.60349415459541e-43 2.04422287594412e-58 8.49999875433271e-33 -1.16152063602393e-59 2.90376360778884e-60 -2.20338977221625e-49 0 0 -6.15696744440531e-41 -7.84924187258556e-56 -1.16152063602393e-59 8.49999875433271e-33 -3.42113882891801e-49 -1.40297472609585e-48 0 0 1.53924351425935e-41 1.96231257698427e-56 2.90376360778884e-60 -3.42113882891801e-49 8.49999875433271e-33 -4.10699858994186e-49 0 0 1.88737886526907e-40 -1.99534178886455e-47 -2.20338977221625e-49 -1.40297472609585e-48 -4.10699858994186e-49 1.17649989954671e-30 

 Running Metropolis-MCMC, chain  1 iteration 100 of 2e+05 . Current logp:  -277.2207  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 200 of 2e+05 . Current logp:  -277.2207  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 300 of 2e+05 . Current logp:  -277.2207  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 400 of 2e+05 . Current logp:  -277.2207  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 500 of 2e+05 . Current logp:  -277.2207  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 600 of 2e+05 . Current logp:  -277.2207  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 700 of 2e+05 . Current logp:  -277.2207  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 800 of 2e+05 . Current logp:  -277.2207  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 900 of 2e+05 . Current logp:  -277.2207  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1000 of 2e+05 . Current logp:  -277.2207  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1100 of 2e+05 . Current logp:  -277.2207  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1200 of 2e+05 . Current logp:  -277.2207  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1300 of 2e+05 . Current logp:  -277.2207  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1400 of 2e+05 . Current logp:  -277.2207  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1500 of 2e+05 . Current logp:  -277.2207  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1600 of 2e+05 . Current logp:  -277.2207  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1700 of 2e+05 . Current logp:  -277.2207  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1800 of 2e+05 . Current logp:  -277.2207  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1900 of 2e+05 . Current logp:  -277.2207  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2000 of 2e+05 . Current logp:  -277.2207  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2100 of 2e+05 . Current logp:  -277.2207  Please wait! 
