corrplot 0.90 loaded
R session is headless; GTK+ not initialized.
[1] 2
BT runMCMC: trying to find optimal start and covariance values BT runMCMC: Optimization finished, setting startValues to 0.511561309601064 0.0501049655341727 0.849441753520706 0.790027016227037 0.309419224539373 0.187431418367508 0.000160551600106303 0.65058150984177  - Setting covariance to 8.48883873665609e-33 2.53183739389611e-42 2.92293820652481e-30 3.62099414273998e-46 1.11008579606874e-45 1.72327604482522e-45 2.27345570988457e-42 4.1496064263034e-46 2.53183739389611e-42 8.48883873665609e-33 7.35299811713645e-37 4.67298023101132e-48 -1.04423246394091e-48 -2.79318962775671e-49 5.72467257250234e-49 2.67207004310818e-49 2.92293820652481e-30 7.35299811713645e-37 8.48883873655533e-25 1.05161426155828e-40 3.22392693465065e-40 5.00476276376592e-40 6.60260236081635e-37 1.20513459169876e-40 3.62099414273998e-46 4.67298023101132e-48 1.05161426155828e-40 8.48883873665609e-33 -5.338519305986e-49 -5.62544703727424e-49 6.77879949597133e-49 -1.0677038611972e-48 1.11008579606874e-45 -1.04423246394091e-48 3.22392693465065e-40 -5.338519305986e-49 8.48883873665609e-33 5.0694274748822e-51 -1.66129031511668e-49 1.88639486488593e-49 1.72327604482522e-45 -2.79318962775671e-49 5.00476276376592e-40 -5.62544703727424e-49 5.0694274748822e-51 8.48883873665609e-33 -2.47230735683528e-49 3.95016810070429e-49 2.27345570988457e-42 5.72467257250234e-49 6.60260236081635e-37 6.77879949597133e-49 -1.66129031511668e-49 -2.47230735683528e-49 8.48883873665609e-33 -3.32926254200859e-49 4.1496064263034e-46 2.67207004310818e-49 1.20513459169876e-40 -1.0677038611972e-48 1.88639486488593e-49 3.95016810070429e-49 -3.32926254200859e-49 8.48883873665609e-33 

 Running Metropolis-MCMC, chain  1 iteration 100 of 2e+05 . Current logp:  -277.4019  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 200 of 2e+05 . Current logp:  -277.4019  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 300 of 2e+05 . Current logp:  -277.4019  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 400 of 2e+05 . Current logp:  -277.4019  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 500 of 2e+05 . Current logp:  -277.4019  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 600 of 2e+05 . Current logp:  -277.4019  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 700 of 2e+05 . Current logp:  -277.4019  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 800 of 2e+05 . Current logp:  -277.4019  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 900 of 2e+05 . Current logp:  -277.4019  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1000 of 2e+05 . Current logp:  -277.4019  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1100 of 2e+05 . Current logp:  -277.4019  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1200 of 2e+05 . Current logp:  -277.4019  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1300 of 2e+05 . Current logp:  -277.4019  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1400 of 2e+05 . Current logp:  -277.4019  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1500 of 2e+05 . Current logp:  -277.4019  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1600 of 2e+05 . Current logp:  -277.4019  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1700 of 2e+05 . Current logp:  -277.4019  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1800 of 2e+05 . Current logp:  -277.4019  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1900 of 2e+05 . Current logp:  -277.4019  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2000 of 2e+05 . Current logp:  -277.4019  Please wait! 
