corrplot 0.90 loaded
R session is headless; GTK+ not initialized.
[1] 1
BT runMCMC: trying to find optimal start and covariance values BT runMCMC: Optimization finished, setting startValues to 0.543244358214958 0.0680600579729348 0.849999802752122 0.549358718021149 0.25467522908483 0.213664072648219 1.39154298423365e-07 0.421580986440776  - Setting covariance to 4.62924600364521e-25 7.41286749953617e-37 3.62162821434445e-25 -4.60356419408242e-41 -1.23131958471548e-40 -1.94535949857297e-40 -2.80134319494134e-43 -9.37836022817431e-41 7.41286749953617e-37 1.29160990939467e-32 -1.12009973834038e-39 -6.59380298054902e-52 -4.01310277362094e-52 -7.1871319242424e-52 -4.37171853345616e-54 -3.92423314232358e-52 3.62162821434445e-25 -1.12009973834038e-39 1.13333280733905e-24 -1.07592148653161e-40 -2.9580721145446e-40 -4.64948218544795e-40 1.08418653324267e-43 -2.17094908353121e-40 -4.60356419408242e-41 -6.59380298054902e-52 -1.07592148653161e-40 1.29160990939467e-32 -8.55284707229503e-49 -4.10536659470161e-48 -1.47002059055071e-50 -2.39479718024261e-48 -1.23131958471548e-40 -4.01310277362094e-52 -2.9580721145446e-40 -8.55284707229503e-49 1.29160990939467e-32 6.84227765783602e-49 -7.06612170230624e-50 -1.38983764924794e-48 -1.94535949857297e-40 -7.1871319242424e-52 -4.64948218544795e-40 -4.10536659470161e-48 6.84227765783602e-49 1.29160990939467e-32 1.53683970830301e-50 -5.98699295060652e-49 -2.80134319494134e-43 -4.37171853345616e-54 1.08418653324267e-43 -1.47002059055071e-50 -7.06612170230624e-50 1.53683970830301e-50 1.29160990939467e-32 -1.94193060967636e-50 -9.37836022817431e-41 -3.92423314232358e-52 -2.17094908353121e-40 -2.39479718024261e-48 -1.38983764924794e-48 -5.98699295060652e-49 -1.94193060967636e-50 1.29160990939467e-32 

 Running Metropolis-MCMC, chain  1 iteration 100 of 2e+05 . Current logp:  -279.8516  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 200 of 2e+05 . Current logp:  -279.8516  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 300 of 2e+05 . Current logp:  -279.8516  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 400 of 2e+05 . Current logp:  -279.8516  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 500 of 2e+05 . Current logp:  -279.8516  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 600 of 2e+05 . Current logp:  -279.8516  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 700 of 2e+05 . Current logp:  -279.8516  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 800 of 2e+05 . Current logp:  -279.8516  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 900 of 2e+05 . Current logp:  -279.8516  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1000 of 2e+05 . Current logp:  -279.8516  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1100 of 2e+05 . Current logp:  -279.8516  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1200 of 2e+05 . Current logp:  -279.8516  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1300 of 2e+05 . Current logp:  -279.8516  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1400 of 2e+05 . Current logp:  -279.8516  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1500 of 2e+05 . Current logp:  -279.8516  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1600 of 2e+05 . Current logp:  -279.8516  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1700 of 2e+05 . Current logp:  -279.8516  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1800 of 2e+05 . Current logp:  -279.8516  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1900 of 2e+05 . Current logp:  -279.8516  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2000 of 2e+05 . Current logp:  -279.8516  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2100 of 2e+05 . Current logp:  -279.8516  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2200 of 2e+05 . Current logp:  -279.8516  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2300 of 2e+05 . Current logp:  -279.8516  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2400 of 2e+05 . Current logp:  -279.8516  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2500 of 2e+05 . Current logp:  -279.8516  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2600 of 2e+05 . Current logp:  -279.8516  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2700 of 2e+05 . Current logp:  -279.8516  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2800 of 2e+05 . Current logp:  -279.8516  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2900 of 2e+05 . Current logp:  -279.8516  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3000 of 2e+05 . Current logp:  -279.8516  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3100 of 2e+05 . Current logp:  -279.8516  Please wait! 
