corrplot 0.90 loaded
R session is headless; GTK+ not initialized.
[1] 3
BT runMCMC: trying to find optimal start and covariance values BT runMCMC: Optimization finished, setting startValues to 0.470729318613781 0.0406843521061491 0.849999624562607 0.934255681581368 0.573817152502743 0.139393810126139 0.191998101102774 0.0439590122604488  - Setting covariance to 8.49999249122352e-33 0 0 0 0 0 0 0 0 8.49999249122352e-33 -3.01980393600214e-39 -5.69968541591953e-45 5.46848000357345e-55 2.66861820510462e-54 1.60773309720456e-54 6.69341944506806e-54 0 -3.01980393600214e-39 8.49999249119322e-25 1.60431881532287e-30 -1.53924025685247e-40 -7.5114924534179e-40 -4.52536635513873e-40 -1.88403007438475e-39 0 -5.69968541591953e-45 1.60431881532287e-30 8.49999249122352e-33 -2.90521683718369e-46 -1.41774581650286e-45 -8.54133750104483e-46 -3.55598540861774e-45 0 5.46848000357345e-55 -1.53924025685247e-40 -2.90521683718369e-46 8.49999249122352e-33 1.710569414459e-49 -9.03394472011162e-49 2.95073223994178e-48 0 2.66861820510462e-54 -7.5114924534179e-40 -1.41774581650286e-45 1.710569414459e-49 8.49999249122352e-33 0 2.56585412168851e-49 0 1.60773309720456e-54 -4.52536635513873e-40 -8.54133750104483e-46 -9.03394472011162e-49 0 8.49999249122352e-33 -8.71321295490056e-49 0 6.69341944506806e-54 -1.88403007438475e-39 -3.55598540861774e-45 2.95073223994178e-48 2.56585412168851e-49 -8.71321295490056e-49 8.49999249122352e-33 

 Running Metropolis-MCMC, chain  1 iteration 100 of 2e+05 . Current logp:  -276.406  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 200 of 2e+05 . Current logp:  -276.406  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 300 of 2e+05 . Current logp:  -276.406  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 400 of 2e+05 . Current logp:  -276.406  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 500 of 2e+05 . Current logp:  -276.406  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 600 of 2e+05 . Current logp:  -276.406  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 700 of 2e+05 . Current logp:  -276.406  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 800 of 2e+05 . Current logp:  -276.406  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 900 of 2e+05 . Current logp:  -276.406  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1000 of 2e+05 . Current logp:  -276.406  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1100 of 2e+05 . Current logp:  -276.406  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1200 of 2e+05 . Current logp:  -276.406  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1300 of 2e+05 . Current logp:  -276.406  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1400 of 2e+05 . Current logp:  -276.406  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1500 of 2e+05 . Current logp:  -276.406  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1600 of 2e+05 . Current logp:  -276.406  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1700 of 2e+05 . Current logp:  -276.406  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1800 of 2e+05 . Current logp:  -276.406  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1900 of 2e+05 . Current logp:  -276.406  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2000 of 2e+05 . Current logp:  -276.406  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2100 of 2e+05 . Current logp:  -276.406  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2200 of 2e+05 . Current logp:  -276.406  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2300 of 2e+05 . Current logp:  -276.406  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2400 of 2e+05 . Current logp:  -276.406  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2500 of 2e+05 . Current logp:  -276.406  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2600 of 2e+05 . Current logp:  -276.406  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2700 of 2e+05 . Current logp:  -276.406  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2800 of 2e+05 . Current logp:  -276.406  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2900 of 2e+05 . Current logp:  -276.406  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3000 of 2e+05 . Current logp:  -276.406  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3100 of 2e+05 . Current logp:  -276.406  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3200 of 2e+05 . Current logp:  -276.406  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3300 of 2e+05 . Current logp:  -276.406  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3400 of 2e+05 . Current logp:  -276.406  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3500 of 2e+05 . Current logp:  -276.406  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3600 of 2e+05 . Current logp:  -276.4139  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3700 of 2e+05 . Current logp:  -276.4185  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3800 of 2e+05 . Current logp:  -276.4222  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3900 of 2e+05 . Current logp:  -276.4176  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4000 of 2e+05 . Current logp:  -276.4343  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4100 of 2e+05 . Current logp:  -276.4791  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4200 of 2e+05 . Current logp:  -276.4097  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4300 of 2e+05 . Current logp:  -276.4522  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4400 of 2e+05 . Current logp:  -276.4541  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4500 of 2e+05 . Current logp:  -276.4203  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4600 of 2e+05 . Current logp:  -276.5683  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4700 of 2e+05 . Current logp:  -276.5044  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4800 of 2e+05 . Current logp:  -276.8385  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4900 of 2e+05 . Current logp:  -277.4131  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5000 of 2e+05 . Current logp:  -277.1575  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5100 of 2e+05 . Current logp:  -276.4815  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5200 of 2e+05 . Current logp:  -276.6587  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5300 of 2e+05 . Current logp:  -277.0829  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5400 of 2e+05 . Current logp:  -278.0166  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5500 of 2e+05 . Current logp:  -276.7945  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5600 of 2e+05 . Current logp:  -276.543  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5700 of 2e+05 . Current logp:  -278.9077  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5800 of 2e+05 . Current logp:  -278.5178  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5900 of 2e+05 . Current logp:  -277.9157  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6000 of 2e+05 . Current logp:  -276.4562  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6100 of 2e+05 . Current logp:  -277.8789  Please wait! 
