corrplot 0.90 loaded
R session is headless; GTK+ not initialized.
[1] 3
BT runMCMC: trying to find optimal start and covariance values BT runMCMC: Optimization finished, setting startValues to 0.549999976748691 0.0419263977242403 0.69409471945921 0.276141973771895 0.444094786463742 0.115695983279064 0.0108280780406828 0.395649469588262  - Setting covariance to 3.55882322851248e-25 0 0 0 0 0 0 0 0 3.55882322851248e-33 0 0 0 0 0 0 0 0 3.55882322851248e-33 0 0 0 0 0 0 0 0 3.55882322851248e-33 0 0 0 0 0 0 0 0 3.55882322851248e-33 0 0 0 0 0 0 0 0 3.55882322851248e-33 0 0 0 0 0 0 0 0 3.55882322851248e-33 0 0 0 0 0 0 0 0 3.55882322851248e-33 

 Running Metropolis-MCMC, chain  1 iteration 100 of 2e+05 . Current logp:  -281.7162  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 200 of 2e+05 . Current logp:  -281.7162  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 300 of 2e+05 . Current logp:  -281.7162  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 400 of 2e+05 . Current logp:  -281.7162  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 500 of 2e+05 . Current logp:  -281.7162  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 600 of 2e+05 . Current logp:  -281.7162  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 700 of 2e+05 . Current logp:  -281.7162  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 800 of 2e+05 . Current logp:  -281.7162  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 900 of 2e+05 . Current logp:  -281.7162  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1000 of 2e+05 . Current logp:  -281.7162  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1100 of 2e+05 . Current logp:  -281.7162  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1200 of 2e+05 . Current logp:  -281.7162  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1300 of 2e+05 . Current logp:  -281.7162  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1400 of 2e+05 . Current logp:  -281.7162  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1500 of 2e+05 . Current logp:  -281.7162  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1600 of 2e+05 . Current logp:  -281.7162  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1700 of 2e+05 . Current logp:  -281.7162  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1800 of 2e+05 . Current logp:  -281.7162  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1900 of 2e+05 . Current logp:  -281.7162  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2000 of 2e+05 . Current logp:  -281.7162  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2100 of 2e+05 . Current logp:  -281.7162  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2200 of 2e+05 . Current logp:  -281.7162  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2300 of 2e+05 . Current logp:  -281.7162  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2400 of 2e+05 . Current logp:  -281.7162  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2500 of 2e+05 . Current logp:  -281.7162  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2600 of 2e+05 . Current logp:  -281.7162  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2700 of 2e+05 . Current logp:  -281.7162  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2800 of 2e+05 . Current logp:  -281.7162  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2900 of 2e+05 . Current logp:  -281.7162  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3000 of 2e+05 . Current logp:  -281.7162  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3100 of 2e+05 . Current logp:  -281.7162  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3200 of 2e+05 . Current logp:  -281.7162  Please wait! 
