corrplot 0.90 loaded
R session is headless; GTK+ not initialized.
[1] 3
BT runMCMC: trying to find optimal start and covariance values BT runMCMC: Optimization finished, setting startValues to 0.549997815394413 0.0486709426717569 0.628561633854509 0.650182462535975 0.139429335089613 0.377647436569212 0.000317955168972199 0.429364573051623  - Setting covariance to 3.5587952581015e-25 2.50393650493354e-40 1.53797824117688e-41 1.99667350608929e-41 9.71354678638031e-41 2.53631499422153e-41 2.98400157277603e-38 2.80613573828765e-41 2.50393650493354e-40 3.55879525810149e-33 9.32058829478186e-49 -1.43995198756217e-49 -6.72367372382568e-50 -4.99264095455503e-50 -1.9770047737223e-48 7.84080584874703e-51 1.53797824117688e-41 9.32058829478186e-49 3.5587952581015e-33 -3.10040706370695e-49 4.27642353614751e-50 -1.06910588403688e-50 -7.85124633589582e-51 -7.26992001145077e-49 1.99667350608929e-41 -1.43995198756217e-49 -3.10040706370695e-49 3.5587952581015e-33 6.84227765783602e-49 8.01829413027659e-49 -4.00914706513829e-51 2.77967529849588e-49 9.71354678638031e-41 -6.72367372382568e-50 4.27642353614751e-50 6.84227765783602e-49 3.5587952581015e-33 -1.71056941445901e-49 -4.00914706513829e-51 -1.71056941445901e-49 2.53631499422153e-41 -4.99264095455503e-50 -1.06910588403688e-50 8.01829413027659e-49 -1.71056941445901e-49 3.5587952581015e-33 -1.67047794380762e-51 2.13821176807376e-50 2.98400157277603e-38 -1.9770047737223e-48 -7.85124633589582e-51 -4.00914706513829e-51 -4.00914706513829e-51 -1.67047794380762e-51 3.5587952581015e-33 -1.00228676628457e-51 2.80613573828765e-41 7.84080584874703e-51 -7.26992001145077e-49 2.77967529849588e-49 -1.71056941445901e-49 2.13821176807376e-50 -1.00228676628457e-51 3.5587952581015e-33 

 Running Metropolis-MCMC, chain  1 iteration 100 of 2e+05 . Current logp:  -279.506  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 200 of 2e+05 . Current logp:  -279.506  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 300 of 2e+05 . Current logp:  -279.506  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 400 of 2e+05 . Current logp:  -279.506  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 500 of 2e+05 . Current logp:  -279.506  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 600 of 2e+05 . Current logp:  -279.506  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 700 of 2e+05 . Current logp:  -279.506  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 800 of 2e+05 . Current logp:  -279.506  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 900 of 2e+05 . Current logp:  -279.506  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1000 of 2e+05 . Current logp:  -279.506  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1100 of 2e+05 . Current logp:  -279.506  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1200 of 2e+05 . Current logp:  -279.506  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1300 of 2e+05 . Current logp:  -279.506  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1400 of 2e+05 . Current logp:  -279.506  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1500 of 2e+05 . Current logp:  -279.506  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1600 of 2e+05 . Current logp:  -279.506  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1700 of 2e+05 . Current logp:  -279.506  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1800 of 2e+05 . Current logp:  -279.506  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1900 of 2e+05 . Current logp:  -279.506  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2000 of 2e+05 . Current logp:  -279.506  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2100 of 2e+05 . Current logp:  -279.506  Please wait! 
