corrplot 0.90 loaded
R session is headless; GTK+ not initialized.
[1] 1
BT runMCMC: trying to find optimal start and covariance values BT runMCMC: Optimization finished, setting startValues to 0.549999988531884 0.0231200768453328 0.544179669871662 0.962803070435791 0.231653008055453 0.529870752678818 0.0641187819397207 0.622808901928753  - Setting covariance to 3.56006066736206e-25 2.62589181670334e-39 1.05535269953877e-40 3.116034011767e-25 3.21045620745276e-40 1.15549442786766e-40 1.18821731828176e-39 4.85662567809651e-41 2.62589181670334e-39 7.84755235206792e-30 -5.69277501131957e-46 4.35626591138988e-36 -4.37905770101505e-46 -2.62743462060903e-46 -7.00649232162408e-46 -4.37905770101505e-47 1.05535269953877e-40 -5.69277501131957e-46 7.84755235206792e-30 1.61744007126298e-37 6.73280121531064e-46 7.66335097677635e-47 -6.56858655152258e-46 2.36742806961126e-46 3.116034011767e-25 4.35626591138988e-36 1.61744007126298e-37 7.84755111422021e-22 5.36482076552202e-37 1.72689162745489e-37 1.85545163211714e-36 2.9882547338414e-38 3.21045620745276e-40 -4.37905770101505e-46 6.73280121531064e-46 5.36482076552202e-37 7.84755235206792e-30 4.98117813490462e-46 9.63392694223312e-46 7.66335097677634e-47 1.15549442786766e-40 -2.62743462060903e-46 7.66335097677635e-47 1.72689162745489e-37 4.98117813490462e-46 7.84755235206792e-30 3.28429327576129e-46 -3.25692416512995e-46 1.18821731828176e-39 -7.00649232162408e-46 -6.56858655152258e-46 1.85545163211714e-36 9.63392694223312e-46 3.28429327576129e-46 7.84755235206792e-30 1.53267019535527e-46 4.85662567809651e-41 -4.37905770101505e-47 2.36742806961126e-46 2.9882547338414e-38 7.66335097677634e-47 -3.25692416512995e-46 1.53267019535527e-46 7.84755235206792e-30 

 Running Metropolis-MCMC, chain  1 iteration 100 of 2e+05 . Current logp:  -302.4158  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 200 of 2e+05 . Current logp:  -302.4158  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 300 of 2e+05 . Current logp:  -302.4158  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 400 of 2e+05 . Current logp:  -302.4158  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 500 of 2e+05 . Current logp:  -302.4158  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 600 of 2e+05 . Current logp:  -302.4158  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 700 of 2e+05 . Current logp:  -302.4158  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 800 of 2e+05 . Current logp:  -302.4158  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 900 of 2e+05 . Current logp:  -302.4158  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1000 of 2e+05 . Current logp:  -302.4158  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1100 of 2e+05 . Current logp:  -302.4158  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1200 of 2e+05 . Current logp:  -302.4158  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1300 of 2e+05 . Current logp:  -302.4158  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1400 of 2e+05 . Current logp:  -302.4158  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1500 of 2e+05 . Current logp:  -302.4158  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1600 of 2e+05 . Current logp:  -302.4158  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1700 of 2e+05 . Current logp:  -302.4158  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1800 of 2e+05 . Current logp:  -302.4158  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1900 of 2e+05 . Current logp:  -302.4158  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2000 of 2e+05 . Current logp:  -302.4158  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2100 of 2e+05 . Current logp:  -302.4158  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2200 of 2e+05 . Current logp:  -302.4158  Please wait! 
