corrplot 0.90 loaded
R session is headless; GTK+ not initialized.
[1] 1
BT runMCMC: trying to find optimal start and covariance values BT runMCMC: Optimization finished, setting startValues to 0.549999999282782 0.0522991881449684 0.744228869571141 0.000138292045020474 0.316629075238672 0.188931234170986 0.00463027261852106 0.748347892262599  - Setting covariance to 3.55882352013012e-25 2.33128825595279e-40 1.8348102014445e-41 1.27098381954179e-37 4.85685053323545e-41 7.8788908650264e-41 1.65780498201103e-39 1.69989768663241e-41 2.33128825595279e-40 3.55882352013012e-33 1.3849932632109e-48 -1.49674823765163e-49 1.31800709766421e-49 2.7395838278445e-50 -4.27642353614751e-50 1.28626801673187e-49 1.8348102014445e-41 1.3849932632109e-48 3.55882352013012e-33 -7.47767265510291e-51 3.15431790572696e-49 -1.24005948097327e-49 3.32957575662305e-49 2.92121567771124e-49 1.27098381954179e-37 -1.49674823765163e-49 -7.47767265510291e-51 3.55882352013012e-33 -2.05383958130254e-51 6.01959337172864e-52 -2.75628860728258e-51 -1.16509311276114e-51 4.85685053323545e-41 1.31800709766421e-49 3.15431790572696e-49 -2.05383958130254e-51 3.55882352013012e-33 1.2175475883902e-49 9.1808423742952e-50 3.63281644320765e-50 7.8788908650264e-41 2.7395838278445e-50 -1.24005948097327e-49 6.01959337172864e-52 1.2175475883902e-49 3.55882352013012e-33 1.41573005737696e-50 -8.69366722102973e-50 1.65780498201103e-39 -4.27642353614751e-50 3.32957575662305e-49 -2.75628860728258e-51 9.1808423742952e-50 1.41573005737696e-50 3.55882352013012e-33 5.53920045679459e-50 1.69989768663241e-41 1.28626801673187e-49 2.92121567771124e-49 -1.16509311276114e-51 3.63281644320765e-50 -8.69366722102973e-50 5.53920045679459e-50 3.55882352013012e-33 

 Running Metropolis-MCMC, chain  1 iteration 100 of 2e+05 . Current logp:  -283.9254  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 200 of 2e+05 . Current logp:  -283.9254  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 300 of 2e+05 . Current logp:  -283.9254  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 400 of 2e+05 . Current logp:  -283.9254  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 500 of 2e+05 . Current logp:  -283.9254  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 600 of 2e+05 . Current logp:  -283.9254  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 700 of 2e+05 . Current logp:  -283.9254  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 800 of 2e+05 . Current logp:  -283.9254  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 900 of 2e+05 . Current logp:  -283.9254  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1000 of 2e+05 . Current logp:  -283.9254  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1100 of 2e+05 . Current logp:  -283.9254  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1200 of 2e+05 . Current logp:  -283.9254  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1300 of 2e+05 . Current logp:  -283.9254  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1400 of 2e+05 . Current logp:  -283.9254  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1500 of 2e+05 . Current logp:  -283.9254  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1600 of 2e+05 . Current logp:  -283.9254  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1700 of 2e+05 . Current logp:  -283.9254  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1800 of 2e+05 . Current logp:  -283.9254  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1900 of 2e+05 . Current logp:  -283.9254  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2000 of 2e+05 . Current logp:  -283.9254  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2100 of 2e+05 . Current logp:  -283.9254  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2200 of 2e+05 . Current logp:  -283.9254  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2300 of 2e+05 . Current logp:  -283.9254  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2400 of 2e+05 . Current logp:  -283.9254  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2500 of 2e+05 . Current logp:  -283.9254  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2600 of 2e+05 . Current logp:  -283.9254  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2700 of 2e+05 . Current logp:  -283.9254  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2800 of 2e+05 . Current logp:  -283.9254  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2900 of 2e+05 . Current logp:  -283.9254  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3000 of 2e+05 . Current logp:  -283.9254  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3100 of 2e+05 . Current logp:  -283.9254  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3200 of 2e+05 . Current logp:  -283.9254  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3300 of 2e+05 . Current logp:  -283.9254  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3400 of 2e+05 . Current logp:  -283.9254  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3500 of 2e+05 . Current logp:  -283.9254  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3600 of 2e+05 . Current logp:  -283.928  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3700 of 2e+05 . Current logp:  -283.9351  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3800 of 2e+05 . Current logp:  -283.95  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3900 of 2e+05 . Current logp:  -283.9392  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4000 of 2e+05 . Current logp:  -283.9307  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4100 of 2e+05 . Current logp:  -283.9742  Please wait! 
