corrplot 0.90 loaded
R session is headless; GTK+ not initialized.
[1] 1
BT runMCMC: trying to find optimal start and covariance values BT runMCMC: Optimization finished, setting startValues to 0.549999998335893 0.0611778929984883 0.356511459308147 0.597915156552757 0.203228975180004 0.32867393649946 2.89594045012421e-09 0.497514095696578  - Setting covariance to 3.55882350787627e-25 4.77050640833525e-40 7.3932057607898e-41 3.6966028803949e-41 1.18723012217063e-40 7.60906578300265e-41 -1.88156951425313e-43 4.96478051089534e-41 4.77050640833525e-40 3.55882350787627e-33 2.56585412168851e-49 -2.20168992993845e-49 -2.57921794523897e-49 -2.62599132766558e-49 -8.09869051690263e-49 -1.1826983842158e-49 7.3932057607898e-41 2.56585412168851e-49 3.55882350787627e-33 -9.80904648603836e-49 6.41463530422127e-50 -1.65711412025716e-49 -1.18247491862853e-48 1.87093529706454e-49 3.6966028803949e-41 -2.20168992993845e-49 -9.80904648603836e-49 3.55882350787627e-33 5.06154816973709e-50 5.67670167254425e-49 2.10448347375495e-49 4.40296224039094e-49 1.18723012217063e-40 -2.57921794523897e-49 6.41463530422127e-50 5.06154816973709e-50 3.55882350787627e-33 1.25369369682762e-49 3.90599238813775e-49 -2.58088842318278e-50 7.60906578300265e-41 -2.62599132766558e-49 -1.65711412025716e-49 5.67670167254425e-49 1.25369369682762e-49 3.55882350787627e-33 2.74310309864957e-49 -3.29251202724482e-49 -1.88156951425313e-43 -8.09869051690263e-49 -1.18247491862853e-48 2.10448347375495e-49 3.90599238813775e-49 2.74310309864957e-49 1.17647740222269e-30 1.93256972861122e-49 4.96478051089534e-41 -1.1826983842158e-49 1.87093529706454e-49 4.40296224039094e-49 -2.58088842318278e-50 -3.29251202724482e-49 1.93256972861122e-49 3.55882350787627e-33 

 Running Metropolis-MCMC, chain  1 iteration 100 of 2e+05 . Current logp:  -301.075  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 200 of 2e+05 . Current logp:  -301.075  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 300 of 2e+05 . Current logp:  -301.075  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 400 of 2e+05 . Current logp:  -301.075  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 500 of 2e+05 . Current logp:  -301.075  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 600 of 2e+05 . Current logp:  -301.075  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 700 of 2e+05 . Current logp:  -301.075  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 800 of 2e+05 . Current logp:  -301.075  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 900 of 2e+05 . Current logp:  -301.075  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1000 of 2e+05 . Current logp:  -301.075  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1100 of 2e+05 . Current logp:  -301.075  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1200 of 2e+05 . Current logp:  -301.075  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1300 of 2e+05 . Current logp:  -301.075  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1400 of 2e+05 . Current logp:  -301.075  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1500 of 2e+05 . Current logp:  -301.075  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1600 of 2e+05 . Current logp:  -301.075  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1700 of 2e+05 . Current logp:  -301.075  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1800 of 2e+05 . Current logp:  -301.075  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1900 of 2e+05 . Current logp:  -301.075  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2000 of 2e+05 . Current logp:  -301.075  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2100 of 2e+05 . Current logp:  -301.075  Please wait! 
