corrplot 0.90 loaded
R session is headless; GTK+ not initialized.
[1] 1
BT runMCMC: trying to find optimal start and covariance values BT runMCMC: Optimization finished, setting startValues to 0.487838148234271 0.0682868773462517 0.459281813096431 0.999998897188029 0.0911672467109649 0.537402412576764 3.38351694661312e-09 0.261340531851399  - Setting covariance to 1.17646799338503e-32 0 0 0 0 0 0 0 0 1.17646799338503e-32 1.16004472397665e-55 -5.22456736371679e-40 3.87606538232807e-55 3.53560350367472e-56 8.45030590839768e-49 1.5189999944789e-55 0 1.16004472397665e-55 1.17646799338503e-32 -2.61228369491981e-40 8.86300713611287e-49 -9.18848084694868e-50 -4.09421286753583e-47 -1.37455051896097e-49 0 -5.22456736371679e-40 -2.61228369491981e-40 1.17646799338503e-24 -8.72813147694409e-40 -7.96147131086137e-41 1.60935744076295e-43 -3.42048390455806e-40 0 3.87606538232807e-55 8.86300713611287e-49 -8.72813147694409e-40 1.17646799338503e-32 -4.27642353614751e-48 -6.93514485043225e-49 -3.42113882891801e-49 0 3.53560350367472e-56 -9.18848084694868e-50 -7.96147131086137e-41 -4.27642353614751e-48 1.17646799338503e-32 -1.33024458797983e-49 6.84227765783602e-49 0 8.45030590839768e-49 -4.09421286753583e-47 1.60935744076295e-43 -6.93514485043225e-49 -1.33024458797983e-49 1.17647854946511e-30 -1.58434012236322e-49 0 1.5189999944789e-55 -1.37455051896097e-49 -3.42048390455806e-40 -3.42113882891801e-49 6.84227765783602e-49 -1.58434012236322e-49 1.17646799338503e-32 

 Running Metropolis-MCMC, chain  1 iteration 100 of 2e+05 . Current logp:  -286.3707  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 200 of 2e+05 . Current logp:  -286.3707  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 300 of 2e+05 . Current logp:  -286.3707  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 400 of 2e+05 . Current logp:  -286.3707  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 500 of 2e+05 . Current logp:  -286.3707  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 600 of 2e+05 . Current logp:  -286.3707  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 700 of 2e+05 . Current logp:  -286.3707  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 800 of 2e+05 . Current logp:  -286.3707  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 900 of 2e+05 . Current logp:  -286.3707  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1000 of 2e+05 . Current logp:  -286.3707  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1100 of 2e+05 . Current logp:  -286.3707  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1200 of 2e+05 . Current logp:  -286.3707  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1300 of 2e+05 . Current logp:  -286.3707  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1400 of 2e+05 . Current logp:  -286.3707  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1500 of 2e+05 . Current logp:  -286.3707  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1600 of 2e+05 . Current logp:  -286.3707  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1700 of 2e+05 . Current logp:  -286.3707  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1800 of 2e+05 . Current logp:  -286.3707  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1900 of 2e+05 . Current logp:  -286.3707  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2000 of 2e+05 . Current logp:  -286.3707  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2100 of 2e+05 . Current logp:  -286.3707  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2200 of 2e+05 . Current logp:  -286.3707  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2300 of 2e+05 . Current logp:  -286.3707  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2400 of 2e+05 . Current logp:  -286.3707  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2500 of 2e+05 . Current logp:  -286.3707  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2600 of 2e+05 . Current logp:  -286.3707  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2700 of 2e+05 . Current logp:  -286.3707  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2800 of 2e+05 . Current logp:  -286.3707  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2900 of 2e+05 . Current logp:  -286.3707  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3000 of 2e+05 . Current logp:  -286.3707  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3100 of 2e+05 . Current logp:  -286.3707  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3200 of 2e+05 . Current logp:  -286.3707  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3300 of 2e+05 . Current logp:  -286.3707  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3400 of 2e+05 . Current logp:  -286.3707  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3500 of 2e+05 . Current logp:  -286.3707  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3600 of 2e+05 . Current logp:  -286.3634  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3700 of 2e+05 . Current logp:  -286.3833  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3800 of 2e+05 . Current logp:  -286.4021  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3900 of 2e+05 . Current logp:  -286.3888  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4000 of 2e+05 . Current logp:  -286.3623  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4100 of 2e+05 . Current logp:  -286.4369  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4200 of 2e+05 . Current logp:  -286.3871  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4300 of 2e+05 . Current logp:  -286.4119  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4400 of 2e+05 . Current logp:  -286.4442  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4500 of 2e+05 . Current logp:  -286.3851  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4600 of 2e+05 . Current logp:  -286.625  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4700 of 2e+05 . Current logp:  -286.4117  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4800 of 2e+05 . Current logp:  -287.2937  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4900 of 2e+05 . Current logp:  -286.7118  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5000 of 2e+05 . Current logp:  -286.6069  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5100 of 2e+05 . Current logp:  -287.4429  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5200 of 2e+05 . Current logp:  -286.5648  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5300 of 2e+05 . Current logp:  -286.8538  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5400 of 2e+05 . Current logp:  -287.261  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5500 of 2e+05 . Current logp:  -286.8098  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5600 of 2e+05 . Current logp:  -288.1249  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5700 of 2e+05 . Current logp:  -286.9626  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5800 of 2e+05 . Current logp:  -287.6528  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5900 of 2e+05 . Current logp:  -288.2246  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6000 of 2e+05 . Current logp:  -287.7699  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6100 of 2e+05 . Current logp:  -289.0835  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6200 of 2e+05 . Current logp:  -287.7528  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6300 of 2e+05 . Current logp:  -288.3518  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6400 of 2e+05 . Current logp:  -288.3955  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6500 of 2e+05 . Current logp:  -287.7418  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6600 of 2e+05 . Current logp:  -286.4361  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6700 of 2e+05 . Current logp:  -286.4596  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6800 of 2e+05 . Current logp:  -288.7062  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6900 of 2e+05 . Current logp:  -289.7188  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7000 of 2e+05 . Current logp:  -286.9783  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7100 of 2e+05 . Current logp:  -288.4401  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7200 of 2e+05 . Current logp:  -290.5655  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7300 of 2e+05 . Current logp:  -289.9818  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7400 of 2e+05 . Current logp:  -291.7566  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7500 of 2e+05 . Current logp:  -287.7797  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7600 of 2e+05 . Current logp:  -286.663  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7700 of 2e+05 . Current logp:  -286.9478  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7800 of 2e+05 . Current logp:  -286.9835  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7900 of 2e+05 . Current logp:  -290.4871  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8000 of 2e+05 . Current logp:  -288.4452  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8100 of 2e+05 . Current logp:  -288.1192  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8200 of 2e+05 . Current logp:  -288.1073  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8300 of 2e+05 . Current logp:  -287.092  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8400 of 2e+05 . Current logp:  -285.7574  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8500 of 2e+05 . Current logp:  -285.2365  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8600 of 2e+05 . Current logp:  -288.5623  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8700 of 2e+05 . Current logp:  -288.6083  Please wait! 
