corrplot 0.90 loaded
R session is headless; GTK+ not initialized.
[1] 1
BT runMCMC: trying to find optimal start and covariance values BT runMCMC: Optimization finished, setting startValues to 0.549733257288717 0.137774465725712 0.564998430233072 0.521390133986201 4.30571672513952e-05 0.00290590037115761 0.502947674814365 1.47302085008333e-08  - Setting covariance to 3.55537240199132e-25 -4.6319938011818e-41 -2.26213650976445e-41 -1.42730041687539e-41 -2.33848900300864e-37 -4.68800861452204e-39 -3.68943692664016e-41 5.47547442888701e-45 -4.6319938011818e-41 3.55537240199132e-33 -3.75857537356715e-52 -1.83687320774158e-52 -1.32736177414954e-48 -3.74187059412907e-50 -2.92333640166334e-52 -1.07852301216487e-50 -2.26213650976445e-41 -3.75857537356715e-52 3.55537240199132e-33 5.5952231078866e-49 -5.07485163422123e-52 -8.99186955690196e-52 1.36837031516917e-49 1.11828957715208e-46 -1.42730041687539e-41 -1.83687320774158e-52 5.5952231078866e-49 3.55537240199132e-33 -2.95793335466885e-52 -3.73838978388876e-51 3.35455582601864e-49 2.04715219088061e-49 -2.33848900300864e-37 -1.32736177414954e-48 -5.07485163422123e-52 -2.95793335466885e-52 3.55537240199132e-33 -6.6359083787311e-50 -4.66294178967882e-52 1.67702168218115e-45 -4.68800861452204e-39 -3.74187059412907e-50 -8.99186955690196e-52 -3.73838978388876e-51 -6.6359083787311e-50 3.55537240199132e-33 -3.9938125996385e-51 3.468106202855e-47 -3.68943692664016e-41 -2.92333640166334e-52 1.36837031516917e-49 3.35455582601864e-49 -4.66294178967882e-52 -3.9938125996385e-51 3.55537240199132e-33 1.4149309722599e-49 5.47547442888701e-45 -1.07852301216487e-50 1.11828957715208e-46 2.04715219088061e-49 1.67702168218115e-45 3.468106202855e-47 1.4149309722599e-49 1.17650524780468e-30 

 Running Metropolis-MCMC, chain  1 iteration 100 of 2e+05 . Current logp:  -485.9798  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 200 of 2e+05 . Current logp:  -485.9798  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 300 of 2e+05 . Current logp:  -485.9798  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 400 of 2e+05 . Current logp:  -485.9798  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 500 of 2e+05 . Current logp:  -485.9798  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 600 of 2e+05 . Current logp:  -485.9798  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 700 of 2e+05 . Current logp:  -485.9798  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 800 of 2e+05 . Current logp:  -485.9798  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 900 of 2e+05 . Current logp:  -485.9798  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1000 of 2e+05 . Current logp:  -485.9798  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1100 of 2e+05 . Current logp:  -485.9798  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1200 of 2e+05 . Current logp:  -485.9798  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1300 of 2e+05 . Current logp:  -485.9798  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1400 of 2e+05 . Current logp:  -485.9798  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1500 of 2e+05 . Current logp:  -485.9798  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1600 of 2e+05 . Current logp:  -485.9798  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1700 of 2e+05 . Current logp:  -485.9798  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1800 of 2e+05 . Current logp:  -485.9798  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1900 of 2e+05 . Current logp:  -485.9798  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2000 of 2e+05 . Current logp:  -485.9798  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2100 of 2e+05 . Current logp:  -485.9798  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2200 of 2e+05 . Current logp:  -485.9798  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2300 of 2e+05 . Current logp:  -485.9798  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2400 of 2e+05 . Current logp:  -485.9798  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2500 of 2e+05 . Current logp:  -485.9798  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2600 of 2e+05 . Current logp:  -485.9798  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2700 of 2e+05 . Current logp:  -485.9798  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2800 of 2e+05 . Current logp:  -485.9798  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2900 of 2e+05 . Current logp:  -485.9798  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3000 of 2e+05 . Current logp:  -485.9798  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3100 of 2e+05 . Current logp:  -485.9798  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3200 of 2e+05 . Current logp:  -485.9798  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3300 of 2e+05 . Current logp:  -485.9798  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3400 of 2e+05 . Current logp:  -485.9798  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3500 of 2e+05 . Current logp:  -485.9798  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3600 of 2e+05 . Current logp:  -485.9712  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3700 of 2e+05 . Current logp:  -485.8486  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3800 of 2e+05 . Current logp:  -485.8862  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3900 of 2e+05 . Current logp:  -486.0071  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4000 of 2e+05 . Current logp:  -486.0062  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4100 of 2e+05 . Current logp:  -485.9021  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4200 of 2e+05 . Current logp:  -485.9479  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4300 of 2e+05 . Current logp:  -486.0163  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4400 of 2e+05 . Current logp:  -485.9329  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4500 of 2e+05 . Current logp:  -485.8143  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4600 of 2e+05 . Current logp:  -485.6694  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4700 of 2e+05 . Current logp:  -486.2032  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4800 of 2e+05 . Current logp:  -485.604  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4900 of 2e+05 . Current logp:  -485.4  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5000 of 2e+05 . Current logp:  -485.5494  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5100 of 2e+05 . Current logp:  -486.6333  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5200 of 2e+05 . Current logp:  -485.2116  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5300 of 2e+05 . Current logp:  -485.8409  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5400 of 2e+05 . Current logp:  -485.8953  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5500 of 2e+05 . Current logp:  -486.5239  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5600 of 2e+05 . Current logp:  -485.5842  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5700 of 2e+05 . Current logp:  -484.0726  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5800 of 2e+05 . Current logp:  -482.0001  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5900 of 2e+05 . Current logp:  -482.7186  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6000 of 2e+05 . Current logp:  -481.2084  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6100 of 2e+05 . Current logp:  -473.588  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6200 of 2e+05 . Current logp:  -467.061  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6300 of 2e+05 . Current logp:  -461.7272  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6400 of 2e+05 . Current logp:  -463.1861  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6500 of 2e+05 . Current logp:  -452.3544  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6600 of 2e+05 . Current logp:  -435.3426  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6700 of 2e+05 . Current logp:  -435.3426  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6800 of 2e+05 . Current logp:  -436.2363  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6900 of 2e+05 . Current logp:  -433.8288  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7000 of 2e+05 . Current logp:  -432.1986  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7100 of 2e+05 . Current logp:  -432.1986  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7200 of 2e+05 . Current logp:  -432.1986  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7300 of 2e+05 . Current logp:  -431.2042  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7400 of 2e+05 . Current logp:  -428.864  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7500 of 2e+05 . Current logp:  -429.0051  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7600 of 2e+05 . Current logp:  -428.4719  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7700 of 2e+05 . Current logp:  -429.9258  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7800 of 2e+05 . Current logp:  -429.9258  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7900 of 2e+05 . Current logp:  -429.9258  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8000 of 2e+05 . Current logp:  -425.0879  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8100 of 2e+05 . Current logp:  -416.9704  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8200 of 2e+05 . Current logp:  -417.1447  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8300 of 2e+05 . Current logp:  -414.0542  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8400 of 2e+05 . Current logp:  -409.9854  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8500 of 2e+05 . Current logp:  -409.9854  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8600 of 2e+05 . Current logp:  -395.6955  Please wait! 
