corrplot 0.90 loaded
R session is headless; GTK+ not initialized.
[1] 1
BT runMCMC: trying to find optimal start and covariance values BT runMCMC: Optimization finished, setting startValues to 0.549309535557093 0.092907796080458 0.849999997367999 0.449532775499754 0.28152303193629 0.00604806948366979 0.244478169033847 3.7333344215869e-09  - Setting covariance to 4.73319162123842e-25 -1.21728762333634e-36 3.66206355904115e-25 -9.80442957254892e-41 -1.8355379867399e-40 -4.86920324020216e-39 -2.07533774502372e-40 -2.25547802720389e-43 -1.21728762333634e-36 1.29628848348074e-32 -5.20746815648726e-40 3.1312021411516e-51 -4.05224968229314e-52 1.89070735601827e-50 5.86540928105342e-52 -7.09353613338628e-55 3.66206355904115e-25 -5.20746815648726e-40 1.13333332631466e-24 -1.81291972296232e-40 -3.32362554023327e-40 -7.01338650099206e-39 -3.4094636352904e-40 -7.39798821918385e-44 -9.80442957254892e-41 3.1312021411516e-51 -1.81291972296232e-40 1.29628848348074e-32 1.54686257596586e-48 -1.30965470794518e-48 6.84227765783602e-49 6.01372059770744e-51 -1.8355379867399e-40 -4.05224968229314e-52 -3.32362554023327e-40 1.54686257596586e-48 1.29628848348074e-32 1.00061628834077e-49 2.79571188675644e-48 1.2225810451242e-50 -4.86920324020216e-39 1.89070735601827e-50 -7.01338650099206e-39 -1.30965470794518e-48 1.00061628834077e-49 1.29628848348074e-32 -2.56585412168851e-49 -1.67047794380762e-52 -2.07533774502372e-40 5.86540928105342e-52 -3.4094636352904e-40 6.84227765783602e-49 2.79571188675644e-48 -2.56585412168851e-49 1.29628848348074e-32 1.06910588403688e-50 -2.25547802720389e-43 -7.09353613338628e-55 -7.39798821918385e-44 6.01372059770744e-51 1.2225810451242e-50 -1.67047794380762e-52 1.06910588403688e-50 1.29628848348074e-32 

 Running Metropolis-MCMC, chain  1 iteration 100 of 2e+05 . Current logp:  -325.3981  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 200 of 2e+05 . Current logp:  -325.3981  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 300 of 2e+05 . Current logp:  -325.3981  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 400 of 2e+05 . Current logp:  -325.3981  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 500 of 2e+05 . Current logp:  -325.3981  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 600 of 2e+05 . Current logp:  -325.3981  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 700 of 2e+05 . Current logp:  -325.3981  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 800 of 2e+05 . Current logp:  -325.3981  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 900 of 2e+05 . Current logp:  -325.3981  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1000 of 2e+05 . Current logp:  -325.3981  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1100 of 2e+05 . Current logp:  -325.3981  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1200 of 2e+05 . Current logp:  -325.3981  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1300 of 2e+05 . Current logp:  -325.3981  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1400 of 2e+05 . Current logp:  -325.3981  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1500 of 2e+05 . Current logp:  -325.3981  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1600 of 2e+05 . Current logp:  -325.3981  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1700 of 2e+05 . Current logp:  -325.3981  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1800 of 2e+05 . Current logp:  -325.3981  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1900 of 2e+05 . Current logp:  -325.3981  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2000 of 2e+05 . Current logp:  -325.3981  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2100 of 2e+05 . Current logp:  -325.3981  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2200 of 2e+05 . Current logp:  -325.3981  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2300 of 2e+05 . Current logp:  -325.3981  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2400 of 2e+05 . Current logp:  -325.3981  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2500 of 2e+05 . Current logp:  -325.3981  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2600 of 2e+05 . Current logp:  -325.3981  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2700 of 2e+05 . Current logp:  -325.3981  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2800 of 2e+05 . Current logp:  -325.3981  Please wait! 
