corrplot 0.90 loaded
R session is headless; GTK+ not initialized.
[1] 1
BT runMCMC: trying to find optimal start and covariance values BT runMCMC: Optimization finished, setting startValues to 0.545002829722257 0.0304281315352394 0.827166067006067 0.117939485749813 0.866384958300781 0.0648763788355232 0.138541677833162 0.0522442367965412  - Setting covariance to 3.49566295699381e-25 1.83660470273232e-40 2.65273281350549e-25 8.04901567011326e-41 1.29534303945131e-41 1.1864151184618e-40 1.54252911107688e-40 4.23211562707644e-40 1.83660470273232e-40 5.79221576065983e-30 -2.57226160102905e-37 1.22613615628421e-45 1.09476442525376e-46 3.50324616081204e-46 0 3.50324616081204e-46 2.65273281350549e-25 -2.57226160102905e-37 5.79221454502128e-22 7.60830784333735e-39 -1.09037278728354e-38 -2.45209125900482e-37 1.23156502058964e-37 4.51205881441176e-37 8.04901567011326e-41 1.22613615628421e-45 7.60830784333735e-39 5.79221576065983e-30 -9.57918872097043e-46 -8.75811540203011e-46 -6.78753943657333e-46 -5.25486924121806e-46 1.29534303945131e-41 1.09476442525376e-46 -1.09037278728354e-38 -9.57918872097043e-46 5.79221576065983e-30 6.67806299404796e-46 -3.88641370965086e-46 -2.51795817808366e-46 1.1864151184618e-40 3.50324616081204e-46 -2.45209125900482e-37 -8.75811540203011e-46 6.67806299404796e-46 5.79221576065983e-30 -8.75811540203011e-46 -7.00649232162408e-46 1.54252911107688e-40 0 1.23156502058964e-37 -6.78753943657333e-46 -3.88641370965086e-46 -8.75811540203011e-46 5.79221576065983e-30 7.00649232162408e-46 4.23211562707644e-40 3.50324616081204e-46 4.51205881441176e-37 -5.25486924121806e-46 -2.51795817808366e-46 -7.00649232162408e-46 7.00649232162408e-46 5.79221576065983e-30 

 Running Metropolis-MCMC, chain  1 iteration 100 of 2e+05 . Current logp:  -280.7035  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 200 of 2e+05 . Current logp:  -280.7035  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 300 of 2e+05 . Current logp:  -280.7035  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 400 of 2e+05 . Current logp:  -280.7035  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 500 of 2e+05 . Current logp:  -280.7035  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 600 of 2e+05 . Current logp:  -280.7035  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 700 of 2e+05 . Current logp:  -280.7035  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 800 of 2e+05 . Current logp:  -280.7035  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 900 of 2e+05 . Current logp:  -280.7035  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1000 of 2e+05 . Current logp:  -280.7035  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1100 of 2e+05 . Current logp:  -280.7035  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1200 of 2e+05 . Current logp:  -280.7035  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1300 of 2e+05 . Current logp:  -280.7035  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1400 of 2e+05 . Current logp:  -280.7035  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1500 of 2e+05 . Current logp:  -280.7035  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1600 of 2e+05 . Current logp:  -280.7035  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1700 of 2e+05 . Current logp:  -280.7035  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1800 of 2e+05 . Current logp:  -280.7035  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1900 of 2e+05 . Current logp:  -280.7035  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2000 of 2e+05 . Current logp:  -280.7035  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2100 of 2e+05 . Current logp:  -280.7035  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2200 of 2e+05 . Current logp:  -280.7035  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2300 of 2e+05 . Current logp:  -280.7035  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2400 of 2e+05 . Current logp:  -280.7035  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2500 of 2e+05 . Current logp:  -280.7035  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2600 of 2e+05 . Current logp:  -280.7035  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2700 of 2e+05 . Current logp:  -280.7035  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2800 of 2e+05 . Current logp:  -280.7035  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2900 of 2e+05 . Current logp:  -280.7035  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3000 of 2e+05 . Current logp:  -280.7035  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3100 of 2e+05 . Current logp:  -280.7035  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3200 of 2e+05 . Current logp:  -280.7035  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3300 of 2e+05 . Current logp:  -280.7035  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3400 of 2e+05 . Current logp:  -280.7035  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3500 of 2e+05 . Current logp:  -280.7035  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3600 of 2e+05 . Current logp:  -280.6966  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3700 of 2e+05 . Current logp:  -280.6946  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3800 of 2e+05 . Current logp:  -280.6977  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 3900 of 2e+05 . Current logp:  -280.6973  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4000 of 2e+05 . Current logp:  -280.6763  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4100 of 2e+05 . Current logp:  -280.6728  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4200 of 2e+05 . Current logp:  -280.6766  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4300 of 2e+05 . Current logp:  -280.6836  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4400 of 2e+05 . Current logp:  -280.6927  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4500 of 2e+05 . Current logp:  -280.7006  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4600 of 2e+05 . Current logp:  -280.7513  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4700 of 2e+05 . Current logp:  -280.9835  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4800 of 2e+05 . Current logp:  -280.6969  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 4900 of 2e+05 . Current logp:  -280.8308  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5000 of 2e+05 . Current logp:  -281.3  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5100 of 2e+05 . Current logp:  -280.8331  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5200 of 2e+05 . Current logp:  -280.8871  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5300 of 2e+05 . Current logp:  -280.7265  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5400 of 2e+05 . Current logp:  -280.7179  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5500 of 2e+05 . Current logp:  -281.68  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5600 of 2e+05 . Current logp:  -281.3733  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5700 of 2e+05 . Current logp:  -280.4791  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5800 of 2e+05 . Current logp:  -281.6719  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 5900 of 2e+05 . Current logp:  -280.6598  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6000 of 2e+05 . Current logp:  -281.6591  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6100 of 2e+05 . Current logp:  -280.3525  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6200 of 2e+05 . Current logp:  -284.8904  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6300 of 2e+05 . Current logp:  -280.3854  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6400 of 2e+05 . Current logp:  -280.9162  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6500 of 2e+05 . Current logp:  -280.8419  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6600 of 2e+05 . Current logp:  -279.9838  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6700 of 2e+05 . Current logp:  -286.4225  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6800 of 2e+05 . Current logp:  -280.5732  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 6900 of 2e+05 . Current logp:  -280.8605  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7000 of 2e+05 . Current logp:  -280.794  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7100 of 2e+05 . Current logp:  -280.8104  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7200 of 2e+05 . Current logp:  -281.0293  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7300 of 2e+05 . Current logp:  -278.6527  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7400 of 2e+05 . Current logp:  -279.9142  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7500 of 2e+05 . Current logp:  -284.1641  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7600 of 2e+05 . Current logp:  -281.9872  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7700 of 2e+05 . Current logp:  -278.6121  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7800 of 2e+05 . Current logp:  -280.9973  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 7900 of 2e+05 . Current logp:  -281.1785  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8000 of 2e+05 . Current logp:  -282.6533  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8100 of 2e+05 . Current logp:  -280.9379  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8200 of 2e+05 . Current logp:  -279.1145  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8300 of 2e+05 . Current logp:  -277.8935  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8400 of 2e+05 . Current logp:  -279.8595  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8500 of 2e+05 . Current logp:  -278.0168  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8600 of 2e+05 . Current logp:  -276.6444  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8700 of 2e+05 . Current logp:  -278.8065  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8800 of 2e+05 . Current logp:  -277.2656  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 8900 of 2e+05 . Current logp:  -278.2314  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 9000 of 2e+05 . Current logp:  -275.6554  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 9100 of 2e+05 . Current logp:  -276.4335  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 9200 of 2e+05 . Current logp:  -274.3154  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 9300 of 2e+05 . Current logp:  -275.6705  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 9400 of 2e+05 . Current logp:  -274.6782  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 9500 of 2e+05 . Current logp:  -279.4714  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 9600 of 2e+05 . Current logp:  -281.3265  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 9700 of 2e+05 . Current logp:  -276.7554  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 9800 of 2e+05 . Current logp:  -276.4274  Please wait! 
