corrplot 0.90 loaded
R session is headless; GTK+ not initialized.
[1] 1
BT runMCMC: trying to find optimal start and covariance values BT runMCMC: Optimization finished, setting startValues to 0.549999976644483 0.0273988151042317 0.762118253311624 0.362160754757885 0.300358396113548 0.204544149256787 0.297918521243021 1.13211037976332e-07  - Setting covariance to 3.55882322716391e-25 5.00795168069528e-40 9.71369946718617e-42 3.9934097809543e-41 4.53305975135353e-41 6.79958962703029e-41 3.66961979871476e-41 -7.67427679371012e-44 5.00795168069528e-40 3.55882322716391e-33 -1.17601647244057e-49 -2.85829216672633e-49 -2.12923294912579e-49 -3.08485073785524e-49 -1.10094936984071e-50 -1.46050862002428e-48 9.71369946718617e-42 -1.17601647244057e-49 3.55882322716391e-33 1.18603934010341e-49 -1.3363823550461e-51 1.62370456138101e-49 9.32126692644653e-50 8.59275586246373e-47 3.9934097809543e-41 -2.85829216672633e-49 1.18603934010341e-49 3.55882322716391e-33 -2.25673413577825e-49 8.24472219531613e-50 1.39060763517517e-49 1.23063094232562e-49 4.53305975135353e-41 -2.12923294912579e-49 -1.3363823550461e-51 -2.25673413577825e-49 3.55882322716391e-33 5.00426252181254e-49 -1.24296511748656e-48 1.27873501081952e-49 6.79958962703029e-41 -3.08485073785524e-49 1.62370456138101e-49 8.24472219531613e-50 5.00426252181254e-49 3.55882322716391e-33 -2.70976971173021e-49 2.24605344594226e-49 3.66961979871476e-41 -1.10094936984071e-50 9.32126692644653e-50 1.39060763517517e-49 -1.24296511748656e-48 -2.70976971173021e-49 3.55882322716391e-33 2.20534328027139e-49 -7.67427679371012e-44 -1.46050862002428e-48 8.59275586246373e-47 1.23063094232562e-49 1.27873501081952e-49 2.24605344594226e-49 2.20534328027139e-49 1.17673698222669e-30 

 Running Metropolis-MCMC, chain  1 iteration 100 of 2e+05 . Current logp:  -280.0878  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 200 of 2e+05 . Current logp:  -280.0878  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 300 of 2e+05 . Current logp:  -280.0878  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 400 of 2e+05 . Current logp:  -280.0878  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 500 of 2e+05 . Current logp:  -280.0878  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 600 of 2e+05 . Current logp:  -280.0878  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 700 of 2e+05 . Current logp:  -280.0878  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 800 of 2e+05 . Current logp:  -280.0878  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 900 of 2e+05 . Current logp:  -280.0878  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1000 of 2e+05 . Current logp:  -280.0878  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1100 of 2e+05 . Current logp:  -280.0878  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1200 of 2e+05 . Current logp:  -280.0878  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1300 of 2e+05 . Current logp:  -280.0878  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1400 of 2e+05 . Current logp:  -280.0878  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1500 of 2e+05 . Current logp:  -280.0878  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1600 of 2e+05 . Current logp:  -280.0878  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1700 of 2e+05 . Current logp:  -280.0878  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1800 of 2e+05 . Current logp:  -280.0878  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 1900 of 2e+05 . Current logp:  -280.0878  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2000 of 2e+05 . Current logp:  -280.0878  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2100 of 2e+05 . Current logp:  -280.0878  Please wait! 
 Running Metropolis-MCMC, chain  1 iteration 2200 of 2e+05 . Current logp:  -280.0878  Please wait! 
