Date,pro
1月5日,0.44375
1月6日,0.45391
1月7日,0.46254
1月8日,0.47109
1月9日,0.48473
1月10日,0.49496
1月11日,0.51421
1月12日,0.52686
1月13日,0.53705
1月14日,0.54398
1月15日,0.55814
1月16日,0.56848
1月17日,0.58441
1月18日,0.59463
1月19日,0.59875
1月20日,0.6137
1月21日,0.62375
1月22日,0.63873
1月23日,0.64373
1月24日,0.65204
1月25日,0.66072
1月26日,0.66913
1月27日,0.68322
1月28日,0.68622
1月29日,0.69248
1月30日,0.69766
1月31日,0.70562
2月1日,0.70918
2月2日,0.71518
2月3日,0.72047
2月4日,0.72672
2月5日,0.73179
2月6日,0.74293
2月7日,0.74447
2月8日,0.74432
2月9日,0.748
2月10日,0.74934
2月11日,0.7513
2月12日,0.75835
2月13日,0.76224
2月14日,0.77094
2月15日,0.78354
2月16日,0.79497
2月17日,0.80431
2月18日,0.81522
2月19日,0.82842
2月20日,0.84931
2月21日,0.87586
2月22日,0.87603
2月23日,0.87503
2月24日,0.87548
2月25日,0.87554
