b12	b3	r12	rh	bs1	bs2	bl1	bl2
0.508	0.029	0.799	0.323	0.39	0.202	0.168	0.001
0.508	0.029	0.799	0.323	0.39	0.202	0.168	0.001
0.508	0.029	0.799	0.323	0.39	0.202	0.168	0.001
0.508	0.029	0.799	0.323	0.39	0.202	0.168	0.001
0.508	0.029	0.799	0.323	0.39	0.202	0.168	0.001
0.508	0.029	0.799	0.323	0.39	0.202	0.168	0.001
0.508	0.029	0.799	0.323	0.39	0.202	0.168	0.001
0.508	0.029	0.799	0.323	0.39	0.202	0.168	0.001
0.508	0.029	0.799	0.323	0.39	0.202	0.168	0.001
0.508	0.029	0.799	0.323	0.39	0.202	0.168	0.001
0.508	0.029	0.799	0.323	0.39	0.202	0.168	0.001
0.508	0.029	0.799	0.323	0.39	0.202	0.168	0.001
0.508	0.029	0.799	0.323	0.39	0.202	0.168	0.001
0.508	0.029	0.799	0.323	0.39	0.202	0.168	0.001
0.508	0.029	0.799	0.323	0.39	0.202	0.168	0.001
0.508	0.029	0.799	0.323	0.39	0.202	0.168	0.001
0.508	0.029	0.799	0.323	0.39	0.202	0.168	0.001
0.508	0.029	0.799	0.323	0.39	0.202	0.168	0.001
0.508	0.029	0.799	0.323	0.39	0.202	0.168	0.001
0.508	0.029	0.799	0.323	0.39	0.202	0.168	0.001
0.508	0.029	0.799	0.323	0.39	0.202	0.168	0.001
0.508	0.029	0.799	0.323	0.39	0.202	0.168	0.001
0.508	0.029	0.799	0.323	0.39	0.202	0.168	0.001
0.508	0.029	0.799	0.323	0.39	0.202	0.168	0.001
0.508	0.029	0.799	0.323	0.39	0.202	0.168	0.001
0.508	0.029	0.799	0.323	0.39	0.202	0.168	0.001
0.508	0.029	0.799	0.323	0.39	0.202	0.168	0.001
0.482	0.035	0.815	0.306	0.367	0.252	0.218	0.02
0.482	0.035	0.815	0.306	0.367	0.252	0.218	0.02
0.482	0.035	0.815	0.306	0.367	0.252	0.218	0.02
0.482	0.035	0.815	0.306	0.367	0.252	0.218	0.02
0.482	0.035	0.815	0.306	0.367	0.252	0.218	0.02
0.482	0.035	0.815	0.306	0.367	0.252	0.218	0.02
0.482	0.035	0.815	0.306	0.367	0.252	0.218	0.02
0.482	0.035	0.815	0.306	0.367	0.252	0.218	0.02
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.514	0.035	0.725	0.607	0.319	0.244	0.226	0.024
0.517	0.053	0.774	0.914	0.233	0.164	0.165	0
0.517	0.053	0.774	0.914	0.233	0.164	0.165	0
0.517	0.053	0.774	0.914	0.233	0.164	0.165	0
0.517	0.053	0.774	0.914	0.233	0.164	0.165	0
0.517	0.053	0.774	0.914	0.233	0.164	0.165	0
0.517	0.053	0.774	0.914	0.233	0.164	0.165	0
0.517	0.053	0.774	0.914	0.233	0.164	0.165	0
0.517	0.053	0.774	0.914	0.233	0.164	0.165	0
0.517	0.053	0.774	0.914	0.233	0.164	0.165	0
0.517	0.053	0.774	0.914	0.233	0.164	0.165	0
0.517	0.053	0.774	0.914	0.233	0.164	0.165	0
0.517	0.053	0.774	0.914	0.233	0.164	0.165	0
0.517	0.053	0.774	0.914	0.233	0.164	0.165	0
0.517	0.053	0.774	0.914	0.233	0.164	0.165	0
0.54	0.042	0.846	0.376	0.289	0.191	0.039	0.196
0.54	0.042	0.846	0.376	0.289	0.191	0.039	0.196
0.54	0.042	0.846	0.376	0.289	0.191	0.039	0.196
0.54	0.042	0.846	0.376	0.289	0.191	0.039	0.196
0.54	0.042	0.846	0.376	0.289	0.191	0.039	0.196
0.54	0.042	0.846	0.376	0.289	0.191	0.039	0.196
0.54	0.042	0.846	0.376	0.289	0.191	0.039	0.196
0.54	0.042	0.846	0.376	0.289	0.191	0.039	0.196
0.54	0.042	0.846	0.376	0.289	0.191	0.039	0.196
0.54	0.042	0.846	0.376	0.289	0.191	0.039	0.196
0.54	0.042	0.846	0.376	0.289	0.191	0.039	0.196
0.411	0.044	0.762	0.263	0.608	0.101	0.33	0.019
0.411	0.044	0.762	0.263	0.608	0.101	0.33	0.019
0.543	0.047	0.661	0.736	0.225	0.287	0.125	0.054
0.543	0.047	0.661	0.736	0.225	0.287	0.125	0.054
0.543	0.047	0.661	0.736	0.225	0.287	0.125	0.054
0.543	0.047	0.661	0.736	0.225	0.287	0.125	0.054
0.543	0.047	0.661	0.736	0.225	0.287	0.125	0.054
0.543	0.047	0.661	0.736	0.225	0.287	0.125	0.054
0.543	0.047	0.661	0.736	0.225	0.287	0.125	0.054
0.543	0.047	0.661	0.736	0.225	0.287	0.125	0.054
0.543	0.047	0.661	0.736	0.225	0.287	0.125	0.054
0.458	0.044	0.793	0.988	0.314	0.265	0.221	0.085
0.458	0.044	0.793	0.988	0.314	0.265	0.221	0.085
0.458	0.044	0.793	0.988	0.314	0.265	0.221	0.085
0.458	0.044	0.793	0.988	0.314	0.265	0.221	0.085
0.458	0.044	0.793	0.988	0.314	0.265	0.221	0.085
0.458	0.044	0.793	0.988	0.314	0.265	0.221	0.085
0.458	0.044	0.793	0.988	0.314	0.265	0.221	0.085
0.458	0.044	0.793	0.988	0.314	0.265	0.221	0.085
0.458	0.044	0.793	0.988	0.314	0.265	0.221	0.085
0.529	0.054	0.767	0.705	0.396	0.099	0.099	0.035
0.529	0.054	0.767	0.705	0.396	0.099	0.099	0.035
0.529	0.054	0.767	0.705	0.396	0.099	0.099	0.035
0.529	0.054	0.767	0.705	0.396	0.099	0.099	0.035
0.529	0.054	0.767	0.705	0.396	0.099	0.099	0.035
0.529	0.054	0.767	0.705	0.396	0.099	0.099	0.035
0.529	0.054	0.767	0.705	0.396	0.099	0.099	0.035
0.529	0.054	0.767	0.705	0.396	0.099	0.099	0.035
0.529	0.054	0.767	0.705	0.396	0.099	0.099	0.035
0.381	0.041	0.788	0.524	0.902	0.081	0.264	0.018
0.381	0.041	0.788	0.524	0.902	0.081	0.264	0.018
0.381	0.041	0.788	0.524	0.902	0.081	0.264	0.018
0.381	0.041	0.788	0.524	0.902	0.081	0.264	0.018
0.381	0.041	0.788	0.524	0.902	0.081	0.264	0.018
0.381	0.041	0.788	0.524	0.902	0.081	0.264	0.018
0.381	0.041	0.788	0.524	0.902	0.081	0.264	0.018
0.381	0.041	0.788	0.524	0.902	0.081	0.264	0.018
0.381	0.041	0.788	0.524	0.902	0.081	0.264	0.018
0.381	0.041	0.788	0.524	0.902	0.081	0.264	0.018
0.381	0.041	0.788	0.524	0.902	0.081	0.264	0.018
0.381	0.041	0.788	0.524	0.902	0.081	0.264	0.018
0.381	0.041	0.788	0.524	0.902	0.081	0.264	0.018
0.381	0.041	0.788	0.524	0.902	0.081	0.264	0.018
0.381	0.041	0.788	0.524	0.902	0.081	0.264	0.018
0.381	0.041	0.788	0.524	0.902	0.081	0.264	0.018
0.381	0.041	0.788	0.524	0.902	0.081	0.264	0.018
0.381	0.041	0.788	0.524	0.902	0.081	0.264	0.018
0.381	0.041	0.788	0.524	0.902	0.081	0.264	0.018
0.381	0.041	0.788	0.524	0.902	0.081	0.264	0.018
0.381	0.041	0.788	0.524	0.902	0.081	0.264	0.018
0.381	0.041	0.788	0.524	0.902	0.081	0.264	0.018
0.381	0.041	0.788	0.524	0.902	0.081	0.264	0.018
0.417	0.062	0.81	0.387	0.547	0.116	0.211	0.031
0.417	0.062	0.81	0.387	0.547	0.116	0.211	0.031
0.417	0.062	0.81	0.387	0.547	0.116	0.211	0.031
0.417	0.062	0.81	0.387	0.547	0.116	0.211	0.031
0.417	0.062	0.81	0.387	0.547	0.116	0.211	0.031
0.417	0.062	0.81	0.387	0.547	0.116	0.211	0.031
0.417	0.062	0.81	0.387	0.547	0.116	0.211	0.031
0.417	0.062	0.81	0.387	0.547	0.116	0.211	0.031
0.417	0.062	0.81	0.387	0.547	0.116	0.211	0.031
0.417	0.062	0.81	0.387	0.547	0.116	0.211	0.031
0.417	0.062	0.81	0.387	0.547	0.116	0.211	0.031
0.417	0.062	0.81	0.387	0.547	0.116	0.211	0.031
0.417	0.062	0.81	0.387	0.547	0.116	0.211	0.031
0.417	0.062	0.81	0.387	0.547	0.116	0.211	0.031
0.417	0.062	0.81	0.387	0.547	0.116	0.211	0.031
0.446	0.052	0.833	0.704	0.38	0.208	0.212	0.051
0.496	0.05	0.736	0.933	0.302	0.233	0.155	0.018
0.479	0.051	0.822	0.669	0.362	0.177	0.154	0.021
0.479	0.051	0.822	0.669	0.362	0.177	0.154	0.021
0.479	0.051	0.822	0.669	0.362	0.177	0.154	0.021
