b12	b3	r12	rh	bs1	bs2	bl1	bl2
0.511	0.035	0.832	0.249	0.15	0.441	0.059	0.316
0.511	0.035	0.832	0.249	0.15	0.441	0.059	0.316
0.511	0.035	0.832	0.249	0.15	0.441	0.059	0.316
0.511	0.035	0.832	0.249	0.15	0.441	0.059	0.316
0.511	0.035	0.832	0.249	0.15	0.441	0.059	0.316
0.511	0.035	0.832	0.249	0.15	0.441	0.059	0.316
0.511	0.035	0.832	0.249	0.15	0.441	0.059	0.316
0.511	0.035	0.832	0.249	0.15	0.441	0.059	0.316
0.511	0.035	0.832	0.249	0.15	0.441	0.059	0.316
0.511	0.035	0.832	0.249	0.15	0.441	0.059	0.316
0.539	0.042	0.685	0.619	0.21	0.323	0.01	0.12
0.539	0.042	0.685	0.619	0.21	0.323	0.01	0.12
0.539	0.042	0.685	0.619	0.21	0.323	0.01	0.12
0.539	0.042	0.685	0.619	0.21	0.323	0.01	0.12
0.539	0.042	0.685	0.619	0.21	0.323	0.01	0.12
0.539	0.042	0.685	0.619	0.21	0.323	0.01	0.12
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
0.505	0.049	0.692	0.793	0.196	0.343	0.048	0.072
