b12	b3	r12	rh	bs1	bs2	bl1	bl2
0.547	0.024	0.71	0.739	0.342	0.238	0.182	0.003
0.547	0.024	0.71	0.739	0.342	0.238	0.182	0.003
0.547	0.024	0.71	0.739	0.342	0.238	0.182	0.003
0.547	0.024	0.71	0.739	0.342	0.238	0.182	0.003
0.547	0.024	0.71	0.739	0.342	0.238	0.182	0.003
0.547	0.024	0.71	0.739	0.342	0.238	0.182	0.003
0.547	0.024	0.71	0.739	0.342	0.238	0.182	0.003
0.547	0.024	0.71	0.739	0.342	0.238	0.182	0.003
0.547	0.024	0.71	0.739	0.342	0.238	0.182	0.003
0.547	0.024	0.71	0.739	0.342	0.238	0.182	0.003
0.547	0.024	0.71	0.739	0.342	0.238	0.182	0.003
0.547	0.024	0.71	0.739	0.342	0.238	0.182	0.003
0.547	0.024	0.71	0.739	0.342	0.238	0.182	0.003
0.547	0.024	0.71	0.739	0.342	0.238	0.182	0.003
0.547	0.024	0.71	0.739	0.342	0.238	0.182	0.003
0.547	0.024	0.71	0.739	0.342	0.238	0.182	0.003
0.547	0.024	0.71	0.739	0.342	0.238	0.182	0.003
0.547	0.024	0.71	0.739	0.342	0.238	0.182	0.003
0.547	0.024	0.71	0.739	0.342	0.238	0.182	0.003
0.547	0.024	0.71	0.739	0.342	0.238	0.182	0.003
0.547	0.024	0.71	0.739	0.342	0.238	0.182	0.003
0.547	0.024	0.71	0.739	0.342	0.238	0.182	0.003
0.373	0.043	0.793	0.906	0.574	0.161	0.329	0.029
0.373	0.043	0.793	0.906	0.574	0.161	0.329	0.029
0.373	0.043	0.793	0.906	0.574	0.161	0.329	0.029
0.373	0.043	0.793	0.906	0.574	0.161	0.329	0.029
0.373	0.043	0.793	0.906	0.574	0.161	0.329	0.029
0.373	0.043	0.793	0.906	0.574	0.161	0.329	0.029
0.373	0.043	0.793	0.906	0.574	0.161	0.329	0.029
0.373	0.043	0.793	0.906	0.574	0.161	0.329	0.029
0.373	0.043	0.793	0.906	0.574	0.161	0.329	0.029
0.373	0.043	0.793	0.906	0.574	0.161	0.329	0.029
0.373	0.043	0.793	0.906	0.574	0.161	0.329	0.029
0.373	0.043	0.793	0.906	0.574	0.161	0.329	0.029
0.378	0.036	0.838	0.91	0.563	0.14	0.276	0.02
0.378	0.036	0.838	0.91	0.563	0.14	0.276	0.02
0.378	0.036	0.838	0.91	0.563	0.14	0.276	0.02
0.489	0.032	0.795	0.99	0.353	0.256	0.102	0.061
0.489	0.032	0.795	0.99	0.353	0.256	0.102	0.061
0.489	0.032	0.795	0.99	0.353	0.256	0.102	0.061
0.44	0.039	0.836	0.713	0.585	0.126	0.141	0.026
0.44	0.039	0.836	0.713	0.585	0.126	0.141	0.026
0.44	0.039	0.836	0.713	0.585	0.126	0.141	0.026
0.44	0.039	0.836	0.713	0.585	0.126	0.141	0.026
0.44	0.039	0.836	0.713	0.585	0.126	0.141	0.026
0.44	0.039	0.836	0.713	0.585	0.126	0.141	0.026
0.44	0.039	0.836	0.713	0.585	0.126	0.141	0.026
0.44	0.039	0.836	0.713	0.585	0.126	0.141	0.026
0.44	0.039	0.836	0.713	0.585	0.126	0.141	0.026
0.44	0.039	0.836	0.713	0.585	0.126	0.141	0.026
0.44	0.039	0.836	0.713	0.585	0.126	0.141	0.026
0.44	0.039	0.836	0.713	0.585	0.126	0.141	0.026
0.44	0.039	0.836	0.713	0.585	0.126	0.141	0.026
0.44	0.039	0.836	0.713	0.585	0.126	0.141	0.026
0.44	0.039	0.836	0.713	0.585	0.126	0.141	0.026
0.44	0.039	0.836	0.713	0.585	0.126	0.141	0.026
0.44	0.039	0.836	0.713	0.585	0.126	0.141	0.026
0.44	0.039	0.836	0.713	0.585	0.126	0.141	0.026
0.44	0.039	0.836	0.713	0.585	0.126	0.141	0.026
0.44	0.039	0.836	0.713	0.585	0.126	0.141	0.026
0.44	0.039	0.836	0.713	0.585	0.126	0.141	0.026
0.44	0.039	0.836	0.713	0.585	0.126	0.141	0.026
0.44	0.039	0.836	0.713	0.585	0.126	0.141	0.026
0.44	0.039	0.836	0.713	0.585	0.126	0.141	0.026
0.44	0.039	0.836	0.713	0.585	0.126	0.141	0.026
0.44	0.039	0.836	0.713	0.585	0.126	0.141	0.026
0.44	0.039	0.836	0.713	0.585	0.126	0.141	0.026
0.44	0.039	0.836	0.713	0.585	0.126	0.141	0.026
0.44	0.039	0.836	0.713	0.585	0.126	0.141	0.026
0.44	0.039	0.836	0.713	0.585	0.126	0.141	0.026
0.44	0.039	0.836	0.713	0.585	0.126	0.141	0.026
